flood_probability,flood_elevation,site_id
0,-0.532,GCREW
0.05,-0.02054999999999999,GCREW
0.1,0.0927,GCREW
0.15000000000000002,0.16015000000000004,GCREW
0.2,0.19940000000000002,GCREW
0.25,0.233,GCREW
0.30000000000000004,0.265,GCREW
0.35000000000000003,0.299,GCREW
0.4,0.32260000000000005,GCREW
0.45,0.34415,GCREW
0.5,0.3685,GCREW
0.55,0.391,GCREW
0.6000000000000001,0.418,GCREW
0.65,0.44255,GCREW
0.7000000000000001,0.4697000000000001,GCREW
0.75,0.49974999999999997,GCREW
0.8,0.5338,GCREW
0.8500000000000001,0.569,GCREW
0.9,0.6113000000000001,GCREW
0.9500000000000001,0.6836000000000004,GCREW
1,1.306,GCREW
0,-0.166,GoodwinIsland
0.05,0.18235,GoodwinIsland
0.1,0.2491,GoodwinIsland
0.15000000000000002,0.29525,GoodwinIsland
0.2,0.33180000000000004,GoodwinIsland
0.25,0.367,GoodwinIsland
0.30000000000000004,0.39010000000000006,GoodwinIsland
0.35000000000000003,0.41445,GoodwinIsland
0.4,0.433,GoodwinIsland
0.45,0.45415000000000005,GoodwinIsland
0.5,0.4755,GoodwinIsland
0.55,0.506,GoodwinIsland
0.6000000000000001,0.536,GoodwinIsland
0.65,0.56155,GoodwinIsland
0.7000000000000001,0.5909,GoodwinIsland
0.75,0.618,GoodwinIsland
0.8,0.66,GoodwinIsland
0.8500000000000001,0.698,GoodwinIsland
0.9,0.74,GoodwinIsland
0.9500000000000001,0.8355500000000007,GoodwinIsland
1,1.121,GoodwinIsland
0,-0.0981999999999998,SweetHall
0.05,0.22831,SweetHall
0.1,0.28968,SweetHall
0.15000000000000002,0.33340000000000003,SweetHall
0.2,0.36256,SweetHall
0.25,0.39665,SweetHall
0.30000000000000004,0.4213,SweetHall
0.35000000000000003,0.4435,SweetHall
0.4,0.46362000000000003,SweetHall
0.45,0.48419999999999996,SweetHall
0.5,0.5008,SweetHall
0.55,0.5207999999999999,SweetHall
0.6000000000000001,0.5445,SweetHall
0.65,0.5654000000000001,SweetHall
0.7000000000000001,0.5909000000000001,SweetHall
0.75,0.623,SweetHall
0.8,0.6483000000000001,SweetHall
0.8500000000000001,0.68597,SweetHall
0.9,0.7409,SweetHall
0.9500000000000001,0.7949,SweetHall
1,0.9605,SweetHall
0,1.096,EdenLanding
0.05,1.5257,EdenLanding
0.1,1.6154000000000002,EdenLanding
0.15000000000000002,1.684,EdenLanding
0.2,1.732,EdenLanding
0.25,1.78,EdenLanding
0.30000000000000004,1.818,EdenLanding
0.35000000000000003,1.854,EdenLanding
0.4,1.8926,EdenLanding
0.45,1.927,EdenLanding
0.5,1.964,EdenLanding
0.55,2.007,EdenLanding
0.6000000000000001,2.051,EdenLanding
0.65,2.096,EdenLanding
0.7000000000000001,2.139,EdenLanding
0.75,2.189,EdenLanding
0.8,2.2442000000000006,EdenLanding
0.8500000000000001,2.305,EdenLanding
0.9,2.374,EdenLanding
0.9500000000000001,2.4723,EdenLanding
1,2.922,EdenLanding
0,-0.05181600000000001,Barataria
0.05,0.067056,Barataria
0.1,0.1246632,Barataria
0.15000000000000002,0.16764,Barataria
0.2,0.19812000000000002,Barataria
0.25,0.219456,Barataria
0.30000000000000004,0.24079200000000003,Barataria
0.35000000000000003,0.265176,Barataria
0.4,0.28346400000000005,Barataria
0.45,0.3048,Barataria
0.5,0.32004000000000005,Barataria
0.55,0.34137600000000007,Barataria
0.6000000000000001,0.36393120000000023,Barataria
0.65,0.384048,Barataria
0.7000000000000001,0.405384,Barataria
0.75,0.423672,Barataria
0.8,0.451104,Barataria
0.8500000000000001,0.475488,Barataria
0.9,0.5154168000000005,Barataria
0.9500000000000001,0.5777484000000006,Barataria
1,1.530096,Barataria
0,-0.493,SageLotPond
0.05,-0.051,SageLotPond
0.1,0.024,SageLotPond
0.15000000000000002,0.08,SageLotPond
0.2,0.121,SageLotPond
0.25,0.148,SageLotPond
0.30000000000000004,0.177,SageLotPond
0.35000000000000003,0.201,SageLotPond
0.4,0.226,SageLotPond
0.45,0.25,SageLotPond
0.5,0.274,SageLotPond
0.55,0.294,SageLotPond
0.6000000000000001,0.316,SageLotPond
0.65,0.34,SageLotPond
0.7000000000000001,0.366,SageLotPond
0.75,0.395,SageLotPond
0.8,0.427,SageLotPond
0.8500000000000001,0.463,SageLotPond
0.9,0.507,SageLotPond
0.9500000000000001,0.5792000000000002,SageLotPond
1,1.123,SageLotPond
0,1.241,RushRanch
0.05,1.4619,RushRanch
0.1,1.51,RushRanch
0.15000000000000002,1.547,RushRanch
0.2,1.5758,RushRanch
0.25,1.612,RushRanch
0.30000000000000004,1.642,RushRanch
0.35000000000000003,1.673,RushRanch
0.4,1.6996,RushRanch
0.45,1.729,RushRanch
0.5,1.752,RushRanch
0.55,1.7819500000000001,RushRanch
0.6000000000000001,1.815,RushRanch
0.65,1.83685,RushRanch
0.7000000000000001,1.869,RushRanch
0.75,1.902,RushRanch
0.8,1.9352,RushRanch
0.8500000000000001,1.97465,RushRanch
0.9,2.0241000000000002,RushRanch
0.9500000000000001,2.1122000000000005,RushRanch
1,2.556,RushRanch
