targetElevations,n,site_id
-0.85,708,GCREW
-0.84,708,GCREW
-0.83,708,GCREW
-0.82,708,GCREW
-0.8099999999999999,708,GCREW
-0.7999999999999999,708,GCREW
-0.79,708,GCREW
-0.78,708,GCREW
-0.77,708,GCREW
-0.76,708,GCREW
-0.75,708,GCREW
-0.74,708,GCREW
-0.73,708,GCREW
-0.72,708,GCREW
-0.71,708,GCREW
-0.7,708,GCREW
-0.69,708,GCREW
-0.6799999999999999,708,GCREW
-0.6699999999999999,708,GCREW
-0.6599999999999999,708,GCREW
-0.6499999999999999,708,GCREW
-0.64,708,GCREW
-0.63,708,GCREW
-0.62,708,GCREW
-0.61,708,GCREW
-0.6,708,GCREW
-0.59,708,GCREW
-0.58,708,GCREW
-0.57,708,GCREW
-0.56,708,GCREW
-0.55,708,GCREW
-0.54,708,GCREW
-0.53,707,GCREW
-0.52,707,GCREW
-0.51,707,GCREW
-0.49999999999999994,707,GCREW
-0.49,707,GCREW
-0.48,707,GCREW
-0.47,707,GCREW
-0.45999999999999996,707,GCREW
-0.44999999999999996,707,GCREW
-0.43999999999999995,707,GCREW
-0.43,707,GCREW
-0.42,707,GCREW
-0.41,707,GCREW
-0.39999999999999997,706,GCREW
-0.38999999999999996,705,GCREW
-0.37999999999999995,705,GCREW
-0.37,705,GCREW
-0.36,705,GCREW
-0.35,705,GCREW
-0.33999999999999997,705,GCREW
-0.32999999999999996,705,GCREW
-0.31999999999999995,705,GCREW
-0.30999999999999994,705,GCREW
-0.29999999999999993,705,GCREW
-0.2899999999999999,705,GCREW
-0.2799999999999999,704,GCREW
-0.27,704,GCREW
-0.26,704,GCREW
-0.25,703,GCREW
-0.24,702,GCREW
-0.22999999999999998,702,GCREW
-0.21999999999999997,701,GCREW
-0.20999999999999996,700,GCREW
-0.19999999999999996,700,GCREW
-0.18999999999999995,699,GCREW
-0.17999999999999994,699,GCREW
-0.16999999999999993,697,GCREW
-0.15999999999999992,697,GCREW
-0.1499999999999999,697,GCREW
-0.14,696,GCREW
-0.13,693,GCREW
-0.12,692,GCREW
-0.10999999999999999,690,GCREW
-0.09999999999999998,689,GCREW
-0.08999999999999997,686,GCREW
-0.07999999999999996,684,GCREW
-0.06999999999999995,683,GCREW
-0.05999999999999994,681,GCREW
-0.04999999999999993,679,GCREW
-0.039999999999999925,675,GCREW
-0.029999999999999916,673,GCREW
-0.019999999999999907,672,GCREW
-0.010000000000000009,671,GCREW
0,668,GCREW
0.010000000000000009,666,GCREW
0.020000000000000018,663,GCREW
0.030000000000000027,663,GCREW
0.040000000000000036,659,GCREW
0.050000000000000044,655,GCREW
0.06000000000000005,648,GCREW
0.07000000000000006,646,GCREW
0.08000000000000007,641,GCREW
0.09000000000000008,638,GCREW
0.10000000000000009,628,GCREW
0.10999999999999999,628,GCREW
0.12,624,GCREW
0.13,622,GCREW
0.14,617,GCREW
0.15000000000000002,607,GCREW
0.16000000000000003,601,GCREW
0.17000000000000004,596,GCREW
0.18000000000000005,586,GCREW
0.19000000000000006,574,GCREW
0.20000000000000007,565,GCREW
0.21000000000000008,555,GCREW
0.22000000000000008,548,GCREW
0.2300000000000001,536,GCREW
0.2400000000000001,521,GCREW
0.2500000000000001,513,GCREW
0.2600000000000001,507,GCREW
0.27000000000000013,488,GCREW
0.28000000000000014,481,GCREW
0.29000000000000015,469,GCREW
0.30000000000000016,457,GCREW
0.30999999999999994,445,GCREW
0.31999999999999995,426,GCREW
0.32999999999999996,414,GCREW
0.33999999999999997,395,GCREW
0.35,384,GCREW
0.36,368,GCREW
0.37,353,GCREW
0.38,333,GCREW
0.39,320,GCREW
0.4,308,GCREW
0.41000000000000003,291,GCREW
0.42000000000000004,279,GCREW
0.43000000000000005,263,GCREW
0.44000000000000006,249,GCREW
0.45000000000000007,237,GCREW
0.4600000000000001,223,GCREW
0.4700000000000001,212,GCREW
0.4800000000000001,197,GCREW
0.4900000000000001,189,GCREW
0.5000000000000001,177,GCREW
0.5100000000000001,165,GCREW
0.5200000000000001,156,GCREW
0.5300000000000001,145,GCREW
0.5400000000000001,135,GCREW
0.5500000000000002,122,GCREW
0.5599999999999999,116,GCREW
0.57,106,GCREW
0.58,101,GCREW
0.59,94,GCREW
0.6,78,GCREW
0.61,74,GCREW
0.62,65,GCREW
0.63,61,GCREW
0.64,54,GCREW
0.65,50,GCREW
0.66,44,GCREW
0.67,40,GCREW
0.68,37,GCREW
0.6900000000000001,35,GCREW
0.7000000000000001,33,GCREW
0.7100000000000001,30,GCREW
0.7200000000000001,24,GCREW
0.7300000000000001,23,GCREW
0.7400000000000001,21,GCREW
0.7500000000000001,18,GCREW
0.7600000000000001,17,GCREW
0.7700000000000001,17,GCREW
0.7800000000000001,15,GCREW
0.7900000000000001,13,GCREW
0.8000000000000002,11,GCREW
0.8100000000000002,10,GCREW
0.82,10,GCREW
0.83,10,GCREW
0.84,8,GCREW
0.85,6,GCREW
0.86,5,GCREW
0.87,5,GCREW
0.88,5,GCREW
0.89,4,GCREW
0.9,4,GCREW
0.91,3,GCREW
0.92,3,GCREW
0.93,3,GCREW
0.9400000000000001,3,GCREW
0.9500000000000001,3,GCREW
0.9600000000000001,3,GCREW
0.9700000000000001,2,GCREW
0.9800000000000001,2,GCREW
0.9900000000000001,2,GCREW
1,2,GCREW
1.0100000000000002,2,GCREW
1.02,2,GCREW
1.0300000000000002,2,GCREW
1.04,2,GCREW
1.0500000000000003,2,GCREW
1.06,2,GCREW
1.0699999999999998,2,GCREW
1.08,2,GCREW
1.0899999999999999,2,GCREW
1.1,2,GCREW
1.1099999999999999,2,GCREW
1.12,1,GCREW
1.13,1,GCREW
1.1400000000000001,1,GCREW
1.15,1,GCREW
1.1600000000000001,1,GCREW
1.17,1,GCREW
1.1800000000000002,1,GCREW
1.19,1,GCREW
1.1999999999999997,1,GCREW
1.21,1,GCREW
1.2199999999999998,1,GCREW
1.23,1,GCREW
1.2399999999999998,1,GCREW
1.25,1,GCREW
1.2599999999999998,1,GCREW
1.27,1,GCREW
1.2799999999999998,1,GCREW
1.29,1,GCREW
1.2999999999999998,1,GCREW
-0.75,708,GoodwinIsland
-0.74,708,GoodwinIsland
-0.73,708,GoodwinIsland
-0.72,708,GoodwinIsland
-0.71,708,GoodwinIsland
-0.7,708,GoodwinIsland
-0.69,708,GoodwinIsland
-0.6799999999999999,708,GoodwinIsland
-0.67,708,GoodwinIsland
