level,time,tide,tide2,site_id,area_m2
1.08,2024-09-22T11:30:00Z,H,HH,GoodwinIsland,140540.56921443302
0.865,2024-09-23T00:30:00Z,H,LH,GoodwinIsland,137118.93769556456
1.028,2024-09-23T12:45:00Z,H,HH,GoodwinIsland,139713.01182382298
0.842,2024-09-24T01:15:00Z,H,LH,GoodwinIsland,136752.90269587166
0.945,2024-09-24T13:30:00Z,H,HH,GoodwinIsland,138392.10291188772
0.773,2024-09-25T01:45:00Z,H,LH,GoodwinIsland,130810.15565991773
0.862,2024-09-25T14:45:00Z,H,HH,GoodwinIsland,137071.19399995246
0.696,2024-09-26T03:15:00Z,H,LH,GoodwinIsland,117214.36796634547
0.775,2024-09-26T15:30:00Z,H,HH,GoodwinIsland,130996.88941180863
0.651,2024-09-27T04:45:00Z,H,LH,GoodwinIsland,101964.01343172124
0.914,2024-09-27T17:30:00Z,H,HH,GoodwinIsland,137898.7513905625
0.231,2024-07-14T04:42:00Z,H,HH,GCREW,28906.3329105522
0.13,2024-07-14T15:36:00Z,H,LH,GCREW,2987.313183458713
0.442,2024-07-15T05:36:00Z,H,HH,GCREW,86393.18137152302
0.275,2024-07-15T14:36:00Z,H,LH,GCREW,66974.53085031317
0.436,2024-07-16T05:54:00Z,H,HH,GCREW,86246.68437890333
0.285,2024-07-16T17:00:00Z,H,LH,GCREW,70672.61541673266
0.466,2024-07-17T05:48:00Z,H,HH,GCREW,86924.33810221641
0.231,2024-07-17T18:00:00Z,H,LH,GCREW,28906.3329105522
0.431,2024-07-18T07:12:00Z,H,HH,GCREW,86124.60355172024
0.086,2024-07-18T13:42:00Z,H,LH,GCREW,847.6855282362245
0.13,2024-07-19T05:54:00Z,H,LH,GCREW,2987.313183458713
0.208,2024-07-19T20:24:00Z,H,HH,GCREW,18778.972895653307
0.5435,2024-08-18T11:15:00Z,H,LH,SweetHall,89867.9442482739
0.6625,2024-08-18T23:30:00Z,H,HH,SweetHall,91963.994193319
0.5975,2024-08-19T11:45:00Z,H,LH,SweetHall,91510.8804781296
0.6255,2024-08-20T00:00:00Z,H,HH,SweetHall,91822.67891932487
0.6215,2024-08-20T12:45:00Z,H,LH,SweetHall,91793.07862531707
0.6185,2024-08-21T01:15:00Z,H,HH,SweetHall,91757.80385691863
0.5895,2024-08-21T13:15:00Z,H,LH,SweetHall,91400.82411498077
0.5525,2024-08-22T02:00:00Z,H,HH,SweetHall,90288.34068826493
0.5505,2024-08-22T14:15:00Z,H,LH,SweetHall,90202.4728404244
0.4885,2024-08-23T02:30:00Z,H,LH,SweetHall,83108.51146191075
0.5385,2024-08-23T15:15:00Z,H,HH,SweetHall,89483.31900512944
