station,MSL,wl_sd,n,max_wl,MHHW,MLHW,MHW,station_name
Goodwin Islands,0.02892483268223262,0.2851189709261526,33021,0.951,0.3910342717953793,0.28956756853357285,0.34030092016447605,NA
Sweethall Marsh,0.05812374275745054,0.3044528981110089,31239,0.9396,0.3788930826393749,0.300715289500614,0.33980418606999446,NA
8571421,0.012066426940638237,0.26742712492007625,87600,0.825,0.31501289317267617,0.22843215662876687,0.2717225249007215,Bishops Head
8571892,0.043281803652968125,0.26096615748177643,87600,0.832,0.31109996272879825,0.1929795599833955,0.2520397613560969,Cambridge
8575512,0.07329398401826356,0.2359963597329586,87600,0.81,0.2155407738164943,0.079445018914287735,0.147492896365391,Annapolis
8577330,0.07727998824491476,0.2307328309718096,78264,0.903,0.24144954912163324,0.16008171388274478,0.200765631502189,Solomon's Island
