flood_probability,flood_elevation,site_id,area_m2
0,-0.532,GCREW,56.41448786854744
0.05,-0.02054999999999999,GCREW,310.2802219837904
0.1,0.0927,GCREW,881.4782598353922
0.15000000000000002,0.16015000000000004,GCREW,4689.4826994705945
0.2,0.1994,GCREW,14992.220890082419
0.25,0.233,GCREW,29786.972911847755
0.30000000000000004,0.265,GCREW,63276.44628389366
0.35000000000000003,0.299,GCREW,75849.93380971998
0.4,0.32260000000000005,GCREW,80715.72259562649
0.45,0.34415,GCREW,82930.00936796702
0.5,0.3685,GCREW,84213.45372349583
0.55,0.391,GCREW,84975.06175568514
0.6000000000000001,0.418,GCREW,85807.19340104423
0.65,0.44255,GCREW,86406.61026251316
0.7000000000000001,0.4697000000000001,GCREW,87006.02650336362
0.75,0.49975,GCREW,87471.45631933399
0.8,0.5338,GCREW,88007.40571075492
0.8500000000000001,0.569,GCREW,88465.78415805101
0.9,0.6113000000000001,GCREW,88924.1624099277
0.95,0.6836000000000004,GCREW,89516.52867115289
1,1.306,GCREW,93197.66531130113
0,-0.166,GoodwinIsland,14.308556508272886
0.05,0.18235,GoodwinIsland,9014.288790317252
0.1,0.2491,GoodwinIsland,14057.989638091996
0.15000000000000002,0.29525,GoodwinIsland,15875.156113952398
0.2,0.33180000000000004,GoodwinIsland,17492.008757695556
0.25,0.367,GoodwinIsland,19402.17992013879
0.30000000000000004,0.39010000000000006,GoodwinIsland,20339.379185769707
0.35000000000000003,0.41445,GoodwinIsland,24123.920249663293
0.4,0.433,GoodwinIsland,26398.935848228633
0.45,0.45415000000000005,GoodwinIsland,30240.688678480685
0.5,0.4755,GoodwinIsland,40614.0702916868
0.55,0.506,GoodwinIsland,50565.328431904316
0.6000000000000001,0.536,GoodwinIsland,64687.35137798637
0.65,0.56155,GoodwinIsland,74016.17038404755
0.7000000000000001,0.5909,GoodwinIsland,82937.24634041637
0.75,0.618,GoodwinIsland,91250.24745171145
0.8,0.66,GoodwinIsland,104885.94960808754
