Site,Plot,Measuremen,Est_date,09_11_2007,11_23_2007,03_12_2008,06_10_2008,09_17_2008,02_15_2011,05_07_2013,09_10_2014,09_21_2016,05_11_2017,12_06_2017,05_09_2018,12_11_2018,04_28_2019
SH4,a,1,11_14_2006,1,1,3,0.5,NF,NF,2.7,6.4,9,18,NA,60,NA,NA
SH4,a,2,11_14_2006,1,1,3,0.5,NF,NF,2.6,1.8,NF,NA,NA,NA,NA,NA
SH4,a,3,11_14_2006,1,1,3,0.5,NF,NF,1.8,6.5,NF,NA,NA,NA,NA,NA
SH4,b,1,11_14_2006,1,NF,NF,NF,NF,1,8.2,5.2,6,34,NA,35,NA,NA
SH4,b,2,11_14_2006,1,NF,NF,NF,NF,0.5,9.1,6.9,NF,NA,NA,NA,NA,NA
SH4,b,3,11_14_2006,1,NF,NF,NF,NF,3,9.8,5.5,NF,NA,NA,NA,NA,NA
SH4,c,1,11_14_2006,1,0.5,4,NF,2,3,2.5,2.6,16,17,NA,42,NA,NA
SH4,c,2,11_14_2006,1,0.5,5,NF,3,4,1.1,2.9,NF,NA,NA,60,NA,NA
SH4,c,3,11_14_2006,1,0.5,4,NF,2,3,2.1,3.2,NF,NA,NA,NA,NA,NA
SH4,d,1,11_14_2006,1,0.5,1,1,3,3,11.9,18,21,24,NA,85,NA,NA
SH4,d,2,11_14_2006,2,0.5,1,1.1,4,2,7,17,NF,NA,NA,NA,NA,NA
SH4,d,3,11_14_2006,1,0.5,1,2,3,4,2,20.4,NF,NA,NA,NA,NA,NA
SH4,1x,1,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,34,37,31
SH4,1x,2,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SH4,1x,3,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SH4,1y,1,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,34,30,34
SH4,1y,2,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SH4,1y,3,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SH4,1z,1,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,29,27,22
SH4,1z,2,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH4,1z,3,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH4,2x,1,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
SH4,2x,2,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH4,2x,3,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH4,2y,1,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
SH4,2y,2,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH4,2y,3,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH4,2z,1,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
SH4,2z,2,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH4,2z,3,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH4,3x,1,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
SH4,3x,2,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH4,3x,3,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH4,3y,1,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
SH4,3y,2,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH4,3y,3,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH4,3z,1,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
SH4,3z,2,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH4,3z,3,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
