refuge,site,SET,date,mean_accr_mm,date_numeric
McFaddin,Willow-Barnet,SET 1,2014-06-04,0.00,0.00
McFaddin,Willow-Barnet,SET 1,2016-10-04,2.00,2.34
McFaddin,Willow-Barnet,SET 1,2017-11-06,15.67,3.43
McFaddin,Willow-Barnet,SET 1,2019-04-15,31.67,4.86
McFaddin,Willow-Barnet,SET 1,2019-11-21,41.33,5.46
McFaddin,Willow-Barnet,SET 2,2014-06-04,0.00,0.00
McFaddin,Willow-Barnet,SET 2,2016-10-04,8.33,2.34
McFaddin,Willow-Barnet,SET 2,2017-11-06,9.33,3.43
McFaddin,Willow-Barnet,SET 2,2019-04-15,14.67,4.86
McFaddin,Willow-Barnet,SET 2,2019-11-21,9.33,5.46
McFaddin,Willow-Barnet,SET 3,2014-06-04,0.00,0.00
McFaddin,Willow-Barnet,SET 3,2016-10-04,4.33,2.34
McFaddin,Willow-Barnet,SET 3,2017-11-06,14.00,3.43
McFaddin,Willow-Barnet,SET 3,2019-04-15,29.33,4.86
McFaddin,Willow-Barnet,SET 3,2019-11-21,22.00,5.46
Brazoria,Alligator Lake,SET 1,2014-06-10,0.00,0.00
Brazoria,Alligator Lake,SET 1,2016-10-10,4.17,2.34
Brazoria,Alligator Lake,SET 1,2017-11-07,18.00,3.41
Brazoria,Alligator Lake,SET 1,2019-04-08,26.75,4.83
Brazoria,Alligator Lake,SET 1,2019-12-06,27.33,5.49
Brazoria,Alligator Lake,SET 2,2014-06-10,0.00,0.00
Brazoria,Alligator Lake,SET 2,2016-10-10,10.00,2.34
Brazoria,Alligator Lake,SET 2,2017-11-07,10.67,3.41
Brazoria,Alligator Lake,SET 2,2019-04-08,31.82,4.83
Brazoria,Alligator Lake,SET 2,2019-12-06,35.00,5.49
Brazoria,Alligator Lake,SET 3,2014-06-10,0.00,0.00
Brazoria,Alligator Lake,SET 3,2016-10-10,7.50,2.34
Brazoria,Alligator Lake,SET 3,2017-11-07,13.33,3.41
Brazoria,Alligator Lake,SET 3,2019-04-08,25.00,4.83
Brazoria,Alligator Lake,SET 3,2019-12-06,32.50,5.49
Brazoria,Brazoria Barrier Island,SET 1,2014-06-10,0.00,0.00
Brazoria,Brazoria Barrier Island,SET 1,2017-11-07,44.33,3.41
Brazoria,Brazoria Barrier Island,SET 1,2019-04-08,41.17,4.83
Brazoria,Brazoria Barrier Island,SET 2,2014-06-10,0.00,0.00
Brazoria,Brazoria Barrier Island,SET 2,2017-11-07,52.67,3.41
Brazoria,Brazoria Barrier Island,SET 2,2019-04-08,59.67,4.83
Brazoria,Brazoria Barrier Island,SET 2,2019-12-06,20.00,5.49
Brazoria,Brazoria Barrier Island,SET 3,2014-06-10,0.00,0.00
Brazoria,Brazoria Barrier Island,SET 3,2017-11-07,37.33,3.41
Brazoria,North Brazoria Peninsula,SET 1,2014-06-10,0.00,0.00
Brazoria,North Brazoria Peninsula,SET 1,2016-10-10,13.00,2.34
Brazoria,North Brazoria Peninsula,SET 1,2017-11-07,26.33,3.41
Brazoria,North Brazoria Peninsula,SET 1,2019-04-08,32.00,4.83
Brazoria,North Brazoria Peninsula,SET 1,2019-12-06,43.17,5.49
Brazoria,North Brazoria Peninsula,SET 2,2014-06-10,0.00,0.00
Brazoria,North Brazoria Peninsula,SET 2,2016-10-10,12.33,2.34
Brazoria,North Brazoria Peninsula,SET 2,2017-11-07,24.33,3.41
Brazoria,North Brazoria Peninsula,SET 2,2019-04-08,21.17,4.83
Brazoria,North Brazoria Peninsula,SET 2,2019-12-06,27.17,5.49
Brazoria,North Brazoria Peninsula,SET 3,2014-06-10,0.00,0.00
Brazoria,North Brazoria Peninsula,SET 3,2016-10-10,13.33,2.34
Brazoria,North Brazoria Peninsula,SET 3,2017-11-07,35.00,3.41
Brazoria,North Brazoria Peninsula,SET 3,2019-12-06,24.00,5.49
Aransas,Blackjack,SET 1,2014-06-12,0.00,0.00
Aransas,Blackjack,SET 1,2017-11-09,47.33,3.41
Aransas,Blackjack,SET 1,2019-04-10,44.50,4.83
Aransas,Blackjack,SET 2,2014-06-12,0.00,0.00
Aransas,Blackjack,SET 2,2017-11-09,33.67,3.41
Aransas,Blackjack,SET 2,2019-04-10,30.33,4.83
Aransas,Blackjack,SET 2,2019-12-04,42.00,5.48
Aransas,Blackjack,SET 3,2014-06-12,0.00,0.00
Aransas,Blackjack,SET 3,2017-11-09,38.33,3.41
Aransas,Blackjack,SET 3,2019-04-10,39.17,4.83
Aransas,Blackjack,SET 3,2019-12-04,51.67,5.48
Aransas,ICWW,SET 1,2014-06-12,0.00,0.00
Aransas,ICWW,SET 1,2017-11-09,30.00,3.41
Aransas,ICWW,SET 1,2019-04-10,23.25,4.83
Aransas,ICWW,SET 1,2019-12-04,48.33,5.48
Aransas,ICWW,SET 2,2014-06-12,0.00,0.00
Aransas,ICWW,SET 2,2017-11-09,15.33,3.41
Aransas,ICWW,SET 2,2019-04-10,15.33,4.83
Aransas,ICWW,SET 2,2019-12-04,33.67,5.48
Aransas,ICWW,SET 3,2014-06-12,0.00,0.00
Aransas,ICWW,SET 3,2017-11-09,20.67,3.41
Aransas,ICWW,SET 3,2019-04-10,34.08,4.83
Aransas,ICWW,SET 3,2019-12-04,44.50,5.48
Aransas,Matagorda Island,SET 1,2014-06-12,0.00,0.00
Aransas,Matagorda Island,SET 1,2017-11-09,34.33,3.41
Aransas,Matagorda Island,SET 1,2019-04-11,53.42,4.83
Aransas,Matagorda Island,SET 1,2019-12-04,43.42,5.48
Aransas,Matagorda Island,SET 2,2014-06-12,0.00,0.00
Aransas,Matagorda Island,SET 2,2017-11-09,45.67,3.41
Aransas,Matagorda Island,SET 2,2019-04-11,44.08,4.83
Aransas,Matagorda Island,SET 2,2019-12-04,58.83,5.48
Aransas,Matagorda Island,SET 3,2014-06-12,0.00,0.00
Aransas,Matagorda Island,SET 3,2017-11-09,16.33,3.41
Aransas,Matagorda Island,SET 3,2019-04-11,31.00,4.83
Aransas,Matagorda Island,SET 3,2019-12-04,65.92,5.48
San Bernard,Cow Trap,SET 1,2014-06-11,0.00,0.00
San Bernard,Cow Trap,SET 1,2016-10-11,2.33,2.34
San Bernard,Cow Trap,SET 1,2017-11-08,25.00,3.41
San Bernard,Cow Trap,SET 1,2019-04-09,25.00,4.83
San Bernard,Cow Trap,SET 1,2019-12-05,25.33,5.48
San Bernard,Cow Trap,SET 2,2014-06-11,0.00,0.00
San Bernard,Cow Trap,SET 2,2016-10-11,0.00,2.34
San Bernard,Cow Trap,SET 2,2017-11-08,20.67,3.41
San Bernard,Cow Trap,SET 2,2019-04-09,20.67,4.83
San Bernard,Cow Trap,SET 2,2019-12-05,30.67,5.48
San Bernard,Cow Trap,SET 3,2014-06-11,0.00,0.00
San Bernard,Cow Trap,SET 3,2016-10-11,0.67,2.34
San Bernard,Cow Trap,SET 3,2017-11-08,18.00,3.41
San Bernard,Cow Trap,SET 3,2019-04-09,25.50,4.83
San Bernard,Cow Trap,SET 3,2019-12-05,38.00,5.48
San Bernard,San Bernard Barrier Island,SET 1,2014-06-11,0.00,0.00
San Bernard,San Bernard Barrier Island,SET 1,2017-11-08,35.67,3.41
San Bernard,San Bernard Barrier Island,SET 1,2019-04-09,54.17,4.83
San Bernard,San Bernard Barrier Island,SET 1,2019-12-05,47.50,5.48
San Bernard,San Bernard Barrier Island,SET 2,2014-06-11,0.00,0.00
San Bernard,San Bernard Barrier Island,SET 2,2017-11-08,45.33,3.41
San Bernard,San Bernard Barrier Island,SET 2,2019-04-09,69.33,4.83
San Bernard,San Bernard Barrier Island,SET 2,2019-12-05,58.92,5.48
San Bernard,San Bernard Barrier Island,SET 3,2014-06-11,0.00,0.00
San Bernard,San Bernard Barrier Island,SET 3,2017-11-08,34.67,3.41
San Bernard,San Bernard Barrier Island,SET 3,2019-04-09,54.83,4.83
San Bernard,San Bernard Barrier Island,SET 3,2019-12-05,56.08,5.48
San Bernard,San Bernard ICWW,SET 1,2014-06-10,0.00,0.00
San Bernard,San Bernard ICWW,SET 1,2016-10-11,4.33,2.34
San Bernard,San Bernard ICWW,SET 1,2017-11-08,28.33,3.41
San Bernard,San Bernard ICWW,SET 1,2019-04-09,38.29,4.83
San Bernard,San Bernard ICWW,SET 1,2019-12-05,42.50,5.49
San Bernard,San Bernard ICWW,SET 2,2014-06-10,0.00,0.00
San Bernard,San Bernard ICWW,SET 2,2016-10-11,13.00,2.34
San Bernard,San Bernard ICWW,SET 2,2017-11-08,48.67,3.41
San Bernard,San Bernard ICWW,SET 2,2019-04-09,78.50,4.83
San Bernard,San Bernard ICWW,SET 2,2019-12-05,58.33,5.49
San Bernard,San Bernard ICWW,SET 3,2014-06-10,0.00,0.00
San Bernard,San Bernard ICWW,SET 3,2017-11-08,32.67,3.41
San Bernard,San Bernard ICWW,SET 3,2019-04-09,53.83,4.83
San Bernard,San Bernard ICWW,SET 3,2019-12-05,45.00,5.49
