refuge,site,SET,date,mean_accr_mm,date_numeric
Anahuac,Alice Jackson White,SET 1,2014-06-03,0.00,0.00
Anahuac,Alice Jackson White,SET 1,2016-10-06,0.00,2.34
Anahuac,Alice Jackson White,SET 1,2017-11-02,24.33,3.42
Anahuac,Alice Jackson White,SET 1,2019-04-12,29.67,4.86
Anahuac,Alice Jackson White,SET 1,2019-11-19,24.33,5.46
Anahuac,Alice Jackson White,SET 2,2014-06-03,0.00,0.00
Anahuac,Alice Jackson White,SET 2,2016-10-06,0.00,2.34
Anahuac,Alice Jackson White,SET 2,2017-11-02,11.67,3.42
Anahuac,Alice Jackson White,SET 2,2019-04-12,11.67,4.86
Anahuac,Alice Jackson White,SET 2,2019-11-19,11.67,5.46
Anahuac,Alice Jackson White,SET 3,2014-06-03,0.00,0.00
Anahuac,Alice Jackson White,SET 3,2016-10-06,0.00,2.34
Anahuac,Alice Jackson White,SET 3,2017-11-02,29.33,3.42
Anahuac,Alice Jackson White,SET 3,2019-04-12,29.33,4.86
Anahuac,Alice Jackson White,SET 3,2019-11-19,22.50,5.46
Anahuac,Jackson Ditch,SET 1,2014-06-03,0.00,0.00
Anahuac,Jackson Ditch,SET 1,2017-11-16,10.00,3.46
Anahuac,Jackson Ditch,SET 1,2019-04-12,35.00,4.86
Anahuac,Jackson Ditch,SET 1,2019-11-19,10.00,5.46
Anahuac,Jackson Ditch,SET 2,2014-06-03,0.00,0.00
Anahuac,Jackson Ditch,SET 2,2017-11-16,16.00,3.46
Anahuac,Jackson Ditch,SET 2,2019-04-12,16.00,4.86
Anahuac,Jackson Ditch,SET 3,2014-06-03,0.00,0.00
Anahuac,Jackson Ditch,SET 3,2017-11-16,16.00,3.46
Anahuac,Jackson Ditch,SET 3,2019-04-12,40.50,4.86
Anahuac,Yellow Rail,SET 1,2014-06-03,0.00,0.00
Anahuac,Yellow Rail,SET 1,2016-10-06,0.00,2.34
Anahuac,Yellow Rail,SET 1,2017-11-02,7.67,3.42
Anahuac,Yellow Rail,SET 1,2019-04-12,16.33,4.86
Anahuac,Yellow Rail,SET 1,2019-11-19,7.67,5.46
Anahuac,Yellow Rail,SET 2,2014-06-03,0.00,0.00
Anahuac,Yellow Rail,SET 2,2016-10-06,0.00,2.34
Anahuac,Yellow Rail,SET 2,2017-11-02,8.67,3.42
Anahuac,Yellow Rail,SET 2,2019-04-12,16.83,4.86
Anahuac,Yellow Rail,SET 3,2014-06-03,0.00,0.00
Anahuac,Yellow Rail,SET 3,2016-10-06,0.00,2.34
Anahuac,Yellow Rail,SET 3,2017-11-02,9.33,3.42
Anahuac,Yellow Rail,SET 3,2019-04-12,12.67,4.86
McFaddin,10 Mile Cut,SET 1,2014-06-04,0.00,0.00
McFaddin,10 Mile Cut,SET 1,2016-10-04,2.33,2.34
McFaddin,10 Mile Cut,SET 1,2017-11-06,12.33,3.43
McFaddin,10 Mile Cut,SET 1,2019-04-15,18.67,4.86
McFaddin,10 Mile Cut,SET 1,2019-11-21,22.33,5.46
McFaddin,10 Mile Cut,SET 2,2014-06-04,0.00,0.00
McFaddin,10 Mile Cut,SET 2,2016-10-04,4.33,2.34
McFaddin,10 Mile Cut,SET 2,2017-11-06,11.00,3.43
McFaddin,10 Mile Cut,SET 2,2019-04-15,13.00,4.86
McFaddin,10 Mile Cut,SET 2,2019-11-21,15.50,5.46
McFaddin,10 Mile Cut,SET 3,2014-06-04,0.00,0.00
McFaddin,10 Mile Cut,SET 3,2016-10-04,10.00,2.34
McFaddin,10 Mile Cut,SET 3,2017-11-06,8.67,3.43
McFaddin,10 Mile Cut,SET 3,2019-04-15,20.58,4.86
McFaddin,10 Mile Cut,SET 3,2019-11-21,13.67,5.46
