year,month,day,transect,plot,species_code,area,bush,hgt,live_count,dead_count,diam_1,diam_1_flag,diam_2,diam_2_flag,diam_3,diam_3_flag,diam_4,diam_4_flag,diam_5,diam_5_flag,crown_1,crown_2,bush_health,total_biomass
2015,10,22,G1,1,IVFR,1,1,67,0,17,9.2,dead,7.2,dead,6.3,dead,8.1,dead,4.7,dead,75,36,dead,0
2015,10,22,G1,1,IVFR,1,2,100,0,5,5.4,dead,7.8,dead,4.2,dead,3.7,dead,3.1,dead,40,13,dead,0
2015,10,22,G1,1,IVFR,1,3,97,0,1,6,dead,NA,NA,NA,NA,NA,NA,NA,NA,59,15,dead,0
2015,10,22,G1,2,IVFR,1,1,100,0,4,5.4,dead,7,dead,3.4,dead,6.5,dead,NA,NA,32,19,dead,159.95511854513646
2015,10,22,G1,2,IVFR,1,2,103,1,3,6.1,dead,4,dead,4.3,dead,3.9,alive,NA,NA,17,14,"half alive, half dead",159.95511854513646
2015,10,22,G1,2,IVFR,1,3,93,1,1,7.5,dead,8,alive,NA,NA,NA,NA,NA,NA,30,12,"half alive, half dead",159.95511854513646
2015,10,22,G1,2,IVFR,1,4,80,3,3,4.3,dead,7,dead,3.3,alive,5.7,alive,4.3,alive,21,14,"half alive, half dead",159.95511854513646
2015,10,22,G1,2,IVFR,1,5,96,3,3,6.3,dead,6.2,dead,4.3,alive,2.6,alive,3.2,alive,30,22,"half alive, half dead",159.95511854513646
2015,10,22,G1,2,IVFR,1,6,76,3,23,6,dead,5.4,dead,3.3,dead,3.6,alive,2.6,alive,35,17,"half alive, half dead",159.95511854513646
2015,10,22,G1,5,IVFR,1,1,72,0,6,9.8,dead,6.8,dead,5.8,dead,4.3,dead,4.2,dead,20,38,dead,0
2015,10,22,G1,7,IVFR,1,1,149,6,13,8.9,dead,8,dead,6.1,dead,5.1,alive,1.8,alive,85,68,"half alive, half dead",339.7452024935337
2015,10,22,G1,8,IVFR,1,1,81,3,1,7.9,dead,3.5,alive,8.5,alive,5.8,alive,NA,NA,33,35,"half alive, half dead",57.76025881431085
2015,10,22,G1,8,IVFR,1,2,80,1,0,5.3,alive,NA,NA,NA,NA,NA,NA,NA,NA,9,11,alive,57.76025881431085
2015,10,22,G1,11,IVFR,1,1,120,1,0,11.1,alive,NA,NA,NA,NA,NA,NA,NA,NA,40,38,alive,502.30929281354804
2015,10,22,G1,11,IVFR,1,2,83,7,0,6.8,alive,3.8,alive,2.7,alive,3.4,alive,3.4,alive,48,35,alive,502.30929281354804
2015,10,22,G1,11,IVFR,1,3,151,4,1,6.4,dead,11.6,dead,9.8,dead,6.5,dead,12.2,alive,58,46,"half alive, half dead",502.30929281354804
2015,10,22,G1,12,IVFR,1,1,111,0,2,12.2,dead,11.3,dead,NA,NA,NA,NA,NA,NA,35,29,dead,43.53442298036883
2015,10,22,G1,12,IVFR,1,2,137,1,5,6,dead,4,dead,9.2,dead,4.6,dead,4.1,alive,36,37,"half alive, half dead",43.53442298036883
2015,10,22,G1,13,IVFR,1,1,165,12,14,13.8,dead,10.1,dead,14.2,dead,10.4,alive,7.2,alive,111,113,"half alive, half dead",1647.4546619319237
2015,10,22,G1,14,IVFR,1,1,154,5,9,6.5,dead,6.5,dead,8.8,dead,6.7,alive,1,alive,89,70,"half alive, half dead",490.06952746400276
2015,10,22,G1,14,IVFR,1,2,143,4,1,6,dead,5.5,alive,2.8,alive,5.5,alive,7.7,alive,50,26,"half alive, half dead",490.06952746400276
2015,10,22,G1,15,IVFR,1,1,155,2,7,9.4,dead,6.3,dead,5.8,dead,6.6,alive,2.7,alive,65,40,"half alive, half dead",125.8252992667426
2015,10,22,G1,16,IVFR,1,1,133,0,6,13.4,dead,6.9,dead,8.7,dead,10.4,dead,8,dead,58,39,dead,0
2015,10,23,G2,5,IVFR,1,1,170,0,14,11.5,dead,7.3,dead,8.5,dead,15.1,dead,12.8,dead,60,40,dead,0
2015,10,23,G2,6,IVFR,1,1,165,0,21,8.1,dead,6.5,dead,12.7,dead,6.9,dead,7,dead,71,55,dead,191.73304731179877
2015,10,23,G2,6,IVFR,1,2,177,2,9,5.6,dead,8.5,dead,10.4,dead,7,alive,3.1,alive,67,68,dead,191.73304731179877
2015,10,23,G2,7,IVFR,1,1,141,5,7,7.4,dead,7.5,dead,11.9,dead,8.4,alive,7.6,alive,94,40,"half alive, half dead",672.9402503021593
2015,10,23,G2,7,IVFR,1,2,120,9,4,7.3,dead,7.3,dead,4.1,alive,3.2,alive,9.1,alive,59,41,"half alive, half dead",672.9402503021593
2015,10,23,G2,8,IVFR,1,1,118,5,5,5.4,dead,8.9,dead,3.8,alive,6,alive,4.6,alive,80,53,"half alive, half dead",221.8803702982983
2015,10,23,G2,8,IVFR,1,2,78,5,3,7,dead,7.2,dead,4,alive,4.9,alive,2.3,alive,59,36,"half alive, half dead",221.8803702982983
2015,10,21,G3,1,IVFR,1,1,133,8,16,5.3,dead,7.7,dead,4.1,dead,8,alive,5.5,alive,65,43,"half alive, half dead",457.18412243859467
2015,10,21,G3,1,IVFR,1,2,151,2,5,5.6,dead,8.9,dead,1,dead,4.2,alive,7.3,alive,44,44,"half alive, half dead",457.18412243859467
2015,10,21,G3,3,IVFR,1,1,170,8,20,14.2,dead,10.5,dead,4.3,dead,5.6,alive,3.9,alive,70,67,"half alive, half dead",1592.4909681850986
2015,10,21,G3,3,IVFR,1,2,168,5,5,11.1,dead,9,dead,4.1,alive,5.7,alive,7.7,alive,73,65,"half alive, half dead",1592.4909681850986
2015,10,21,G3,3,IVFR,1,3,172,3,8,8.8,dead,10.8,dead,9.1,dead,5.9,alive,6.6,alive,78,49,"half alive, half dead",1592.4909681850986
2015,10,15,R1,2,IVFR,1,1,130,2,11,11.6,dead,8.9,dead,9.7,dead,9,alive,5.2,alive,84,85,"half alive, half dead",123.1713296541559
2015,10,15,R1,3,IVFR,1,1,182,2,13,12.2,dead,8.2,dead,5.2,dead,7,alive,6,alive,70,100,"half alive, half dead",227.12969709877416
