Site,Plot,Measuremen,Est_date,10_27_1998,01_26_1999,07_12_1999,10_27_1999,02_25_2000,06_21_2000,10_17_2000,01_17_2001,05_02_2001,07_31_2001,01_07_2002,03_18_2002,04_18_2002,05_16_2002,06_03_2002,07_12_2002,08_12_2002,09_10_2002,10_10_2002,11_09_2002,12_13_2002,01_09_2003,02_20_2003,03_21_2003,04_24_2003,10_02_2003,02_25_2004,07_21_2004,02_11_2005,06_13_2005,11_09_2005,06_19_2006,11_14_2006,06_09_2007,09_12_2007,11_20_2007,03_10_2008,06_13_2008,09_15_2008,11_11_2008,02_02_2009,05_08_2009,08_18_2009,12_01_2009,04_20_2010,07_29_2010,10_28_2010,01_25_2011,04_06_2011,07_20_2011,05_08_2013,09_08_2014,09_21_2015,09_19_2016,05_09_2017,12_05_2017,05_08_2018,12_09_2018,04_27_2019
SH3,1a,1,07_28_1998,3,4,11,12.5,12,16,12.2,12.8,11.1,3.8,18,21.9,22,30.6,11.8,17.6,22.9,26.2,28.9,26.3,44.4,38.9,25.1,31.4,27.5,30.3,31.8,18.3,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1a,2,07_28_1998,3,5,5.5,6.7,16,19.1,11.8,13.4,8.6,5.3,20,20.2,21,28.6,11.1,20.2,25,24.5,28.1,25.7,43.2,42.8,26.2,38.3,20.4,29.4,31.1,21.6,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1a,3,07_28_1998,2,4,9,8.8,16,18.3,13.4,13.9,9.4,7.4,22,23.5,22.5,34,15.5,16.1,28.4,25.3,27.4,24.8,37.6,37.9,21.9,40.5,21.5,29.1,29.6,16.5,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1b,1,07_28_1998,0.2,2,5,7.5,15,4.1,8.4,9.1,6.5,7.4,10,28.6,28.6,13.4,7.7,15.8,4.1,16.8,NF,NF,30.6,30.8,19.5,14.2,17.9,38.4,10.1,41.6,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1b,2,07_28_1998,0.5,2,6.5,5,21,6.2,8.8,11.4,4.6,9.5,12,29.5,27.4,9.1,5.1,15.5,3,14.9,NF,NF,28.8,31.7,18.8,18,19.5,33.8,8.5,40.8,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1b,3,07_28_1998,1,1,NF,7,24,0,9.1,11.6,6.6,10.2,13,30,27.9,15.5,8.5,10.6,7.8,13.5,NF,NF,28.5,30.9,19.2,20.9,18.7,43.7,13.5,38.7,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1c,1,07_28_1998,1,3,7.5,5,4,10.5,9.6,7,6.4,14.1,23,10.5,13.2,8.1,15.9,14.4,15.5,13.2,14.9,24.9,19.9,46.7,11.5,8.6,16.2,31.4,24.4,26.5,34.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1c,2,07_28_1998,0.5,6,5,3.8,3,6.9,7.9,5.3,9.5,11.9,26,11.8,11.9,6.2,16.5,15.3,14.8,16.6,14,25.1,20.3,46.1,12,7,17.4,33.5,20.6,20.3,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,1c,3,07_28_1998,0.5,2,4.5,6,4,12,6.2,6.9,6.5,9.9,30,20.4,11.8,8.6,21.3,13.7,10.7,16.9,15.1,24,25,44.9,12.4,7.2,15.8,31.6,24,20.9,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2a,1,07_28_1998,0.5,3,5.5,12,17,10.9,20.2,27.9,19.7,16.5,25,18,17.2,23.3,13.4,5.2,17.5,21,23.5,21.5,14.8,18.2,18.4,29.6,22,33.7,39.8,31.7,46.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH3,2a,2,07_28_1998,1,5,7.5,15,15,12.1,20.9,25.4,27.6,15.2,27,17.2,16.4,25.2,14.5,7.1,16.2,23.2,22.6,20.2,17.2,18.6,19.5,31.8,22.4,30.2,38,33.3,48.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
