site,category,replicate,northing,easting,elevation,vt_precision,max_canopy_ht,mean_canopy_ht,open_water,disp,bama,lyca,moli,bofr,sade,spal,spal_stubble,bare
A5,8,3,28.85654155,95.54622017,0.153,0.015,0,0,100,0,0,0,0,0,0,0,0,0
A5,8,4,28.8565845,95.54620589,0.14,0.012,0,0,100,0,0,0,0,0,0,0,0,0
A5,8,2,28.85653441,95.54616199,0.123,0.02,0,0,100,0,0,0,0,0,0,0,0,0
A5,8,1,28.85660424,95.54613831,0.183,0.025,0,0,100,0,0,0,0,0,0,0,0,0
A5,8,5,28.85654051,95.54613657,0.044,0.011,0,0,100,0,0,0,0,0,0,0,0,0
A5,2,5,28.85746954,95.5432113,0.232,0.01,150,110,0,0,0,0,0,0,0,50,0,50
A5,2,2,28.8571871,95.54309699,0.327,0.01,165,160,0,0,0,0,0,0,0,25,0,75
A5,2,3,28.85736692,95.54309424,0.352,0.013,164,140,0,0,0,0,0,0,0,25,0,75
A5,3,4,28.85713831,95.54308726,0.265,0.016,0,0,0,0,0,0,0,0,0,0,15,85
A5,3,2,28.8572995,95.5430428,0.247,0.009,0,0,0,0,0,0,0,0,0,0,10,90
A5,3,3,28.8572067,95.5430401,0.263,0.013,0,0,0,0,0,0,0,0,0,0,15,85
A5,2,4,28.85751601,95.54303743,0.345,0.017,145,100,0,0,0,0,0,0,0,25,0,75
A5,3,5,28.85706497,95.54301995,0.357,0.013,0,0,0,0,0,0,0,0,0,0,15,85
A5,2,1,28.85708725,95.54299769,0.276,0.014,160,120,0,0,0,0,0,0,0,40,0,60
A5,3,1,28.85726113,95.54297534,0.248,0.01,0,0,0,0,0,0,0,0,0,0,10,90
A5,10,1,28.85739472,95.54277189,0.348,0.022,60,55,0,50,0,0,0,0,0,0,0,50
A5,10,5,28.85753665,95.54277007,0.298,0.017,64,54,0,45,0,0,0,0,0,0,0,55
A5,10,2,28.85735152,95.54266891,0.289,0.022,65,55,0,60,0,0,0,0,0,0,0,40
A5,10,4,28.85756204,95.54262594,0.343,0.018,70,61,0,65,0,0,0,0,0,0,0,35
A5,10,3,28.85744678,95.54261243,0.278,0.029,73,62,0,60,0,0,0,0,0,0,0,40
A5,5,1,28.85755824,95.54257513,0.335,0.014,68,53,0,45,7,0,0,0,0,0,0,48
A5,5,2,28.85746407,95.54254974,0.302,0.016,80,61,0,65,7,2,0,0,0,0,0,26
A5,5,4,28.85730455,95.54252873,0.341,0.01,85,72,0,80,4,0,0,4,0,0,0,12
A5,5,3,28.85739045,95.54252509,0.327,0.011,62,48,0,50,15,2,0,0,0,0,0,33
