Site,Plot,Measuremen,Est_date,02_28_2007,06_08_2007,09_11_2007,11_23_2007,03_12_2008,06_10_2008,09_17_2008,02_03_2009,05_04_2009,07_20_2009,02_15_2011,05_07_2013,09_21_2016,12_06_2017,05_09_2018,12_11_2018,04_28_2019
SH5,a,1,11_14_2006,0,0,1,1,0,0.5,1,3,3,3,3,23.2,31,NA,31,NA,NA
SH5,a,2,11_14_2006,0,0,1,1,0,0.5,1,2,3,2,4,15,NF,NA,NA,NA,NA
SH5,a,3,11_14_2006,0,0,1,1,0,0.5,1,2,3,2,4,21.1,NF,NA,NA,NA,NA
SH5,b,1,11_14_2006,0,0,1,1,2,0.5,2,4,4,NF,NF,14.6,22,NA,NF,NA,NA
SH5,b,2,11_14_2006,0,0,1,1,3,0.5,3,3,4,NF,NF,15.9,NF,NA,NF,NA,NA
SH5,b,3,11_14_2006,0,0,1,1,2,0.5,2,2,3,NF,NF,13.3,NF,NA,NF,NA,NA
SH5,c,1,11_14_2006,0,0,1,1,2.5,1,1,3,2,2,4,11.4,18,NA,30,NA,NA
SH5,c,2,11_14_2006,0,0,1,1.5,3,3,1,4,2,2,3,11.7,NF,NA,NA,NA,NA
SH5,c,3,11_14_2006,0,0,1,1,2,2,1,4,1,1,5,11.4,NF,NA,NA,NA,NA
SH5,d,1,11_14_2006,0,0,1,1,0,0.5,0,5,3,0.5,4,14.8,50,NA,NF,NA,NA
SH5,d,2,11_14_2006,0,0,1,1,0,0.5,0,4,3,0.5,3,14,NF,NA,NF,NA,NA
SH5,d,3,11_14_2006,0,0,1,1,0,0.5,1,3,2,0.5,1,14.2,NF,NA,NF,NA,NA
SH5,1x,1,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
SH5,1x,2,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,1x,3,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,1y,1,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
SH5,1y,2,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,1y,3,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,1z,1,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13,6,1
SH5,1z,2,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,1z,3,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,2x,1,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
SH5,2x,2,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,2x,3,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,2y,1,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
SH5,2y,2,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,2y,3,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,2z,1,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
SH5,2z,2,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,2z,3,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,3x,1,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.3,10,23
SH5,3x,2,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,3x,3,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,3y,1,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
SH5,3y,2,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,3y,3,12_11_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,3z,1,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,10,7
SH5,3z,2,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH5,3z,3,05_11_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
