Site,Type,Date,Operator_ID
BSC Forest,Original,07_28_1998,11
BSC Forest,Original,10_26_1998,11
BSC Forest,Original,01_26_1999,11
BSC Forest,Original,07_16_1999,10
BSC Forest,Original,07_29_1999,10
BSC Forest,Original,10_28_1999,10
BSC Forest,Original,02_22_2000,10
BSC Forest,Original,07_20_2000,16
BSC Forest,Original,08_02_2000,16
BSC Forest,Original,10_16_2000,16
BSC Forest,Original,10_20_2000,Nr
BSC Forest,Original,01_16_2001,16
BSC Forest,Original,04_27_2001,16
BSC Forest,Original,08_10_2001,1
BSC Forest,Original,02_17_2002,16
BSC Forest,Original,04_15_2002,16
BSC Forest,Original,07_01_2002,16
BSC Forest,Original,10_24_2002,16
BSC Forest,Original,04_23_2003,16
BSC Forest,Original,05_07_2003,Nl
BSC Forest,Original,11_17_2003,5
BSC Forest,Original,02_24_2004,5
BSC Forest,Original,06_22_2004,5
BSC Forest,Original,07_20_2004,5
BSC Forest,Original,08_20_2004,5
BSC Forest,Original,02_14_2005,5
BSC Forest,Original,06_14_2005,5
BSC Forest,Original,11_08_2005,5
BSC Forest,Original,07_28_2006,5
BSC Forest,Original,12_11_2006,16
BSC Forest,Original,04_09_2007,16
BSC Forest,Original,08_01_2007,16
BSC Forest,Original,09_14_2007,Nr
BSC Forest,Original,10_16_2007,16
BSC Forest,Original,01_09_2008,7
BSC Forest,Original,04_09_2008,16
BSC Forest,Original,07_21_2008,16
BSC Forest,Original,10_30_2008,16
BSC Forest,Original,01_15_2009,16
BSC Forest,Original,04_15_2009,16
BSC Forest,Original,07_24_2009,14
BSC Forest,Original,10_22_2009,16
BSC Forest,Original,01_21_2010,14
BSC Forest,Original,04_19_2010,16
BSC Forest,Original,07_30_2010,14
BSC Forest,Original,10_26_2010,16
BSC Forest,Original,01_24_2011,14
BSC Forest,Original,04_07_2011,14
BSC Forest,Original,07_19_2011,14
BSC Forest,Original,10_26_2011,14
BSC Forest,Original,05_17_2013,9
BSC Forest,Original,09_09_2014,16
BSC Forest,Original,01_29_2016,4
BSC Forest,Original,09_20_2016,4
BSC Forest,Original,05_13_2017,4
BSC Forest,Original,12_07_2017,4
BSC Forest,Original,05_05_2018,4
BSC Forest,Original,12_12_2018,4
BSC Forest,Original,04_26_2019,4
BSC Mud,Original,07_28_1998,11
BSC Mud,Original,10_26_1998,11
BSC Mud,Original,01_26_1999,11
BSC Mud,Original,07_16_1999,10
BSC Mud,Original,07_29_1999,10
BSC Mud,Original,10_28_1999,10
BSC Mud,Original,02_22_2000,10
BSC Mud,Original,07_20_2000,16
BSC Mud,Original,08_02_2000,Nr
BSC Mud,Original,10_16_2000,16
BSC Mud,Original,10_20_2000,Nr
BSC Mud,Original,01_16_2001,16
BSC Mud,Original,04_27_2001,1
BSC Mud,Original,08_10_2001,1
BSC Mud,Original,02_17_2002,16
BSC Mud,Original,04_15_2002,16
BSC Mud,Original,07_01_2002,16
BSC Mud,Original,10_24_2002,16
BSC Mud,Original,04_23_2003,Nr
BSC Mud,Original,05_07_2003,16
BSC Mud,Original,11_17_2003,16
BSC Mud,Original,02_24_2004,5
BSC Mud,Original,06_22_2004,5
BSC Mud,Original,07_20_2004,5
BSC Mud,Original,08_20_2004,5
BSC Mud,Original,02_14_2005,5
BSC Mud,Original,06_14_2005,5
BSC Mud,Original,11_08_2005,5
BSC Mud,Original,07_28_2006,5
BSC Mud,Original,12_11_2006,Nr
BSC Mud,Original,04_09_2007,16
BSC Mud,Original,08_01_2007,16
BSC Mud,Original,09_14_2007,16
BSC Mud,Original,10_16_2007,16
BSC Mud,Original,01_09_2008,7
BSC Mud,Original,04_09_2008,16
BSC Mud,Original,07_21_2008,16
BSC Mud,Original,10_30_2008,16
BSC Mud,Original,01_15_2009,16
BSC Mud,Original,04_15_2009,16
BSC Mud,Original,07_24_2009,16
BSC Mud,Original,10_22_2009,16
BSC Mud,Original,01_21_2010,14
BSC Mud,Original,04_19_2010,16
BSC Mud,Original,07_30_2010,14
BSC Mud,Original,10_26_2010,16
BSC Mud,Original,01_24_2011,14
BSC Mud,Original,04_07_2011,14
BSC Mud,Original,07_19_2011,14
BSC Mud,Original,10_26_2011,Nr
BSC Mud,Original,05_17_2013,9
BSC Mud,Original,09_09_2014,Nr
BSC Mud,Original,01_29_2016,Nr
BSC Mud,Original,09_20_2016,Nr
BSC Mud,Original,05_13_2017,Nr
BSC Mud,Original,12_07_2017,Nr
BSC Mud,Original,05_05_2018,Nr
BSC Mud,Original,12_12_2018,Nr
BSC Mud,Original,04_26_2019,Nr
BSC Mud,Deep,07_28_1998,Nr
BSC Mud,Deep,10_26_1998,Nr
BSC Mud,Deep,01_26_1999,Nr
BSC Mud,Deep,07_16_1999,Nr
BSC Mud,Deep,07_29_1999,Nr
BSC Mud,Deep,10_28_1999,Nr
BSC Mud,Deep,02_22_2000,Nr
BSC Mud,Deep,07_20_2000,Nr
BSC Mud,Deep,08_02_2000,Nr
BSC Mud,Deep,10_16_2000,Nr
BSC Mud,Deep,10_20_2000,Nr
BSC Mud,Deep,01_16_2001,Nr
BSC Mud,Deep,04_27_2001,Nr
BSC Mud,Deep,08_10_2001,Nr
BSC Mud,Deep,02_17_2002,Nr
BSC Mud,Deep,04_15_2002,Nr
BSC Mud,Deep,07_01_2002,Nr
BSC Mud,Deep,10_24_2002,Nr
BSC Mud,Deep,04_23_2003,Nr
BSC Mud,Deep,05_07_2003,Nr
BSC Mud,Deep,11_17_2003,Nr
BSC Mud,Deep,02_24_2004,Nr
BSC Mud,Deep,06_22_2004,Nr
BSC Mud,Deep,07_20_2004,Nr
BSC Mud,Deep,08_20_2004,Nr
BSC Mud,Deep,02_14_2005,Nr
BSC Mud,Deep,06_14_2005,Nr
BSC Mud,Deep,11_08_2005,Nr
BSC Mud,Deep,07_28_2006,Nr
BSC Mud,Deep,12_11_2006,Nr
BSC Mud,Deep,04_09_2007,Nr
BSC Mud,Deep,08_01_2007,Nr
BSC Mud,Deep,09_14_2007,Nr
BSC Mud,Deep,10_16_2007,Nr
BSC Mud,Deep,01_09_2008,Nr
BSC Mud,Deep,04_09_2008,Nr
BSC Mud,Deep,07_21_2008,Nr
BSC Mud,Deep,10_30_2008,Nr
BSC Mud,Deep,01_15_2009,Nr
BSC Mud,Deep,04_15_2009,Nr
BSC Mud,Deep,07_24_2009,Nr
BSC Mud,Deep,10_22_2009,Nr
BSC Mud,Deep,01_21_2010,Nr
BSC Mud,Deep,04_19_2010,Nr
BSC Mud,Deep,07_30_2010,Nr
BSC Mud,Deep,10_26_2010,Nr
BSC Mud,Deep,01_24_2011,Nr
BSC Mud,Deep,04_07_2011,Nr
BSC Mud,Deep,07_19_2011,8
BSC Mud,Deep,10_26_2011,Nr
BSC Mud,Deep,05_17_2013,8
BSC Mud,Deep,09_09_2014,Nr
BSC Mud,Deep,01_29_2016,17
BSC Mud,Deep,09_20_2016,17
BSC Mud,Deep,05_13_2017,17
BSC Mud,Deep,12_07_2017,17
BSC Mud,Deep,05_05_2018,17
BSC Mud,Deep,12_12_2018,17
BSC Mud,Deep,04_26_2019,Nr
LO1,Original,08_08_2000,16
LO1,Original,11_14_2000,16
LO1,Original,02_28_2001,16
LO1,Original,06_20_2001,16
LO1,Original,08_15_2001,1
LO1,Original,01_04_2002,16
LO1,Original,04_17_2002,16
LO1,Original,07_02_2002,16
LO1,Original,10_25_2002,16
LO1,Original,05_06_2003,16
LO1,Original,08_26_2003,16
LO1,Original,11_18_2003,16
LO1,Original,03_15_2004,16
LO1,Original,07_30_2004,5
LO1,Original,03_29_2005,5
LO1,Original,02_09_2006,16
LO1,Original,11_16_2006,16
LO1,Original,05_08_2007,16
LO1,Original,07_26_2007,16
LO1,Original,08_23_2007,16
LO1,Original,11_19_2007,16
LO1,Original,02_22_2008,16
LO1,Original,06_12_2008,16
LO1,Original,08_15_2008,16
LO1,Original,10_29_2008,Nr
LO1,Original,11_25_2008,16
LO1,Original,01_14_2009,16
LO1,Original,05_06_2009,16
LO1,Original,05_20_2009,8
LO1,Original,08_21_2009,16
LO1,Original,10_19_2009,16
LO1,Original,01_20_2010,16
LO1,Original,04_21_2010,16
LO1,Original,08_12_2010,16
LO1,Original,10_29_2010,16
LO1,Original,01_27_2011,16
LO1,Original,05_03_2011,8
LO1,Original,08_08_2011,14
LO1,Original,09_11_2014,16
LO1,Original,08_22_2017,4
LO1,Shallow,08_08_2000,Nr
LO1,Shallow,11_14_2000,Nr
LO1,Shallow,02_28_2001,Nr
LO1,Shallow,06_20_2001,Nr
LO1,Shallow,08_15_2001,Nr
LO1,Shallow,01_04_2002,Nr
LO1,Shallow,04_17_2002,Nr
LO1,Shallow,07_02_2002,Nr
LO1,Shallow,10_25_2002,Nr
LO1,Shallow,05_06_2003,Nr
LO1,Shallow,08_26_2003,Nr
LO1,Shallow,11_18_2003,Nr
LO1,Shallow,03_15_2004,Nr
LO1,Shallow,07_30_2004,Nr
LO1,Shallow,03_29_2005,Nr
LO1,Shallow,02_09_2006,Nr
LO1,Shallow,11_16_2006,Nr
LO1,Shallow,05_08_2007,8
