ID,Site,SurveyDate,Surveyed.Elevation,TurtleHt,Elevation.m.NAVD88,Latitude,Longitude,Description,Type,Method,Vegetation
1,DingDarling,20210624,0.248,0,0.248,26.466494,-82.106824,SET A2 Fringe,SET,Leveling,Red
2,DingDarling,20210624,-0.019,0,-0.019,26.466494,-82.106824,SET A2 Fringe Ground,SET GND,Leveling,Red
3,DingDarling,20210624,0.104,0.044,0.06,26.466513,-82.106803,Core A Fringe,CORE,Leveling,Red
4,DingDarling,20210624,0.513,0,0.513,26.466402,-82.106835,SET A2 Basin,SET,Leveling,"Black, Red"
5,DingDarling,20210624,0.298,0,0.298,26.466402,-82.106835,SET A2 Basin Ground,SET GND,Leveling,"Black, Red"
6,DingDarling,20210624,0.101,0.044,0.057,26.466522,-82.106864,TurningPt 2,TP,Leveling,Red
7,DingDarling,20210624,0.297,0.044,0.253,26.466535,-82.107214,TurningPt 3,TP,Leveling,"Black, Red"
8,DingDarling,20210624,0.512,0,0.512,26.466555,-82.107432,SET A3 Basin,SET,Leveling,"Black, Red"
9,DingDarling,20210624,0.285,0,0.285,26.466555,-82.107432,SET A3 Basin Ground,SET GND,Leveling,"Black, Red"
10,DingDarling,20210624,0.361,0,0.361,26.466746,-82.107346,SET A3 Fringe,SET,Leveling,Red
11,DingDarling,20210624,0.109,0,0.109,26.466746,-82.107346,SET A3 Fringe Ground,SET GND,Leveling,Red
12,DingDarling,20210624,0.044,0,0.044,NA,NA,Side Shot 1 No Turtle Edge,SS,Leveling,Red
13,DingDarling,20210624,0.279,0,0.279,NA,NA,Side Shot 2 No Turtle,SS,Leveling,"Black, Red"
14,DingDarling,20210624,0.278,0,0.278,26.466307,-82.107228,Side Shot 3 No Turtle,SS,Leveling,"Black, Red"
15,DingDarling,20210624,0.301,0.044,0.257,26.466529,-82.107168,TurningPt 4,TP,Leveling,"Black, Red"
16,DingDarling,20210624,0.314,0.044,0.27,26.466339,-82.106829,TurningPt 5,TP,Leveling,"Black, Red"
17,DingDarling,20210624,0.323,0.044,0.279,26.466249,-82.106728,TurningPt 6,TP,Leveling,Black
18,DingDarling,20210624,0.326,0,0.326,26.46621,-82.106727,"Core A Basin, Side Shot 4",CORE,Leveling,Black
19,DingDarling,20210624,0.501,0,0.501,26.466214,-82.106579,SET A1 Basin,SET,Leveling,"Black, Red"
20,DingDarling,20210624,0.29,0,0.29,26.466214,-82.106579,SET A1 Basin Ground,SET GND,Leveling,"Black, Red"
21,DingDarling,20210624,0.366,0,0.366,26.466343,-82.106487,SET A1 Fringe,SET,Leveling,Red
22,DingDarling,20210624,0.096,0,0.096,26.466343,-82.106487,SET A1 Fringe Ground,SET GND,Leveling,Red
23,DingDarling,20210624,-0.281,0,-0.281,26.466415,-82.106406,Side Shot 5 Edge,SS,Leveling,Red
24,DingDarling,20210624,0.02,0.044,-0.024,26.466342,-82.106509,Side Shot 6,SS,Leveling,Red
25,DingDarling,20210624,0.265,0.044,0.221,26.466358,-82.106651,TurningPt 7,TP,Leveling,Red
26,DingDarling,20210624,0.242,0.044,0.198,26.467229,-82.109116,TurningPt 8,TP,Leveling,Red
27,DingDarling,20210624,0.431,0,0.431,26.467329,-82.108833,SET B1 Basin,SET,Leveling,Black
28,DingDarling,20210624,0.192,0,0.192,26.467329,-82.108833,SET B1 Basin Ground,SET GND,Leveling,Black
29,DingDarling,20210624,0.253,0.044,0.209,26.467357,-82.108756,TurningPt 15,TP,Leveling,"Black, Red"
30,DingDarling,20210624,0.216,0,0.216,26.467456,-82.108822,SET B1 Fringe,SET,Leveling,"Black, Red"
31,DingDarling,20210624,-0.06,0,-0.06,26.467456,-82.108822,SET B1 Fringe Ground,SET GND,Leveling,"Black, Red"
32,DingDarling,20210624,-0.448,0,-0.448,NA,NA,Side Shot 8 No Turtle Edge,SS,Leveling,Red
33,DingDarling,20210624,0.284,0.044,0.24,26.467397,-82.108756,TurningPt 16,TP,Leveling,"Black, Red"
34,DingDarling,20210624,0.255,0.044,0.211,26.467363,-82.109145,TurningPt 17,TP,Leveling,"Black, Red"
35,DingDarling,20210624,0.32,0.044,0.276,26.467413,-82.109318,TurningPt 8,TP,Leveling,Red
36,DingDarling,20210624,0.495,0,0.495,26.467195,-82.109336,SET B2 Basin,SET,Leveling,Black
37,DingDarling,20210624,0.226,0,0.226,26.467195,-82.109336,SET B2 Basin Ground,SET GND,Leveling,Black
38,DingDarling,20210624,0.153,0.044,0.109,26.467427,-82.109394,TurningPt 9,TP,Leveling,Red
39,DingDarling,20210624,0.231,0,0.231,26.467458,-82.109577,SET B2 Fringe,SET,Leveling,Black
40,DingDarling,20210624,0.027,0,0.027,26.467458,-82.109577,SET B2 Fringe Ground,SET GND,Leveling,Black
41,DingDarling,20210624,0.298,0.044,0.254,26.467199,-82.109694,TurningPt 10,TP,Leveling,"Black, Red"
42,DingDarling,20210624,0.291,0.044,0.247,26.467257,-82.110015,TurningPt 11,TP,Leveling,Black
43,DingDarling,20210624,0.442,0,0.442,26.467331,-82.110212,SET B3 Basin,SET,Leveling,Black
44,DingDarling,20210624,0.267,0,0.267,26.467331,-82.110212,SET B3 Basin Ground,SET GND,Leveling,Black
45,DingDarling,20210624,0.278,0,0.278,26.46757,-82.110098,SET B3 Fringe,SET,Leveling,Red
46,DingDarling,20210624,0.02,0,0.02,26.46757,-82.110098,SET B3 Fringe Ground,SET GND,Leveling,Red
47,DingDarling,20210624,0.282,0.044,0.238,26.467188,-82.110295,Side Shot 7,SS,Leveling,Black
48,DingDarling,20210624,0.255,0.044,0.211,26.467108,-82.110115,TurningPt 12,TP,Leveling,Black
49,DingDarling,20210624,0.273,0.044,0.229,26.467266,-82.10976,TurningPt 13,TP,Leveling,Black
50,DingDarling,20210624,-0.725,0,-0.725,26.46674,-82.10685,ExtraPts,EP,PPK,
51,DingDarling,20210624,-0.7222,0,-0.7222,26.46674,-82.1068,ExtraPts,EP,PPK,
52,DingDarling,20210624,-0.7138,0,-0.7138,26.46674,-82.10677,ExtraPts,EP,PPK,
53,DingDarling,20210624,-0.723,0,-0.723,26.46672,-82.10675,ExtraPts,EP,PPK,
54,DingDarling,20210624,-0.7522,0,-0.7522,26.46672,-82.10671,ExtraPts,EP,PPK,
55,DingDarling,20210624,-0.7311,0,-0.7311,26.4667,-82.10673,ExtraPts,EP,PPK,
56,DingDarling,20210624,-0.681,0,-0.681,26.46671,-82.10681,ExtraPts,EP,PPK,
57,DingDarling,20210624,-0.591,0,,26.4677,-82.10956,ExtraPts,EP,PPK,
58,DingDarling,20210624,-0.535,0,,26.46767,-82.10958,ExtraPts,EP,PPK,
59,DingDarling,20210624,-0.5743,0,,26.46764,-82.1096,ExtraPts,EP,PPK,
60,DingDarling,20210624,-0.5614,0,,26.46763,-82.10956,ExtraPts,EP,PPK,
61,DingDarling,20210624,-0.5895,0,,26.46763,-82.10949,ExtraPts,EP,PPK,
62,DingDarling,20210624,-0.6275,0,,26.46763,-82.10947,ExtraPts,EP,PPK,
63,DingDarling,20210624,-0.6321,0,,26.46763,-82.10945,ExtraPts,EP,PPK,
64,DingDarling,20210624,-0.6503,0,,26.46764,-82.10943,ExtraPts,EP,PPK,
65,DingDarling,20210624,-0.6815,0,,26.46766,-82.10943,ExtraPts,EP,PPK,
66,DingDarling,20210624,-0.6541,0,,26.46767,-82.10943,ExtraPts,EP,PPK,
67,DingDarling,20210624,-0.672,0,,26.46769,-82.10942,ExtraPts,EP,PPK,
68,DingDarling,20210624,-0.6853,0,,26.46768,-82.1094,ExtraPts,EP,PPK,
69,DingDarling,20210624,-0.6898,0,,26.46767,-82.10941,ExtraPts,EP,PPK,
70,DingDarling,20210624,-0.6836,0,,26.46766,-82.10941,ExtraPts,EP,PPK,
71,DingDarling,20210624,-0.6531,0,,26.46764,-82.10941,ExtraPts,EP,PPK,
72,DingDarling,20210624,-0.6489,0,,26.46763,-82.10943,ExtraPts,EP,PPK,
73,DingDarling,20210624,-0.6398,0,,26.46763,-82.10944,ExtraPts,EP,PPK,
74,DingDarling,20210624,-0.6491,0,,26.46764,-82.10945,ExtraPts,EP,PPK,
75,DingDarling,20210624,-0.637,0,,26.46765,-82.10945,ExtraPts,EP,PPK,
76,DingDarling,20210624,-0.6428,0,,26.46767,-82.10945,ExtraPts,EP,PPK,
77,DingDarling,20210624,-0.6318,0,,26.46768,-82.10945,ExtraPts,EP,PPK,
78,DingDarling,20210624,-0.6219,0,,26.46768,-82.10946,ExtraPts,EP,PPK,
79,DingDarling,20210624,-0.6206,0,,26.46768,-82.10947,ExtraPts,EP,PPK,
80,DingDarling,20210624,-0.6017,0,,26.46767,-82.10947,ExtraPts,EP,PPK,
81,DingDarling,20210624,-0.5966,0,,26.46766,-82.10947,ExtraPts,EP,PPK,
82,DingDarling,20210624,-0.6259,0,,26.46765,-82.10947,ExtraPts,EP,PPK,
83,DingDarling,20210624,-0.6411,0,,26.46764,-82.10948,ExtraPts,EP,PPK,
84,DingDarling,20210624,-0.5784,0,,26.46762,-82.10948,ExtraPts,EP,PPK,
85,DingDarling,20210625,0.46,0,0.46,26.467773,-82.111832,SET C2 Basin,SET,Leveling,"Black, Red"
86,DingDarling,20210625,0.076,0,0.076,26.467773,-82.111832,SET C2 Basin Ground,SET GND,Leveling,"Black, Red"
87,DingDarling,20210625,0.241,0.044,0.197,26.467773,-82.111707,TurningPt 1,TP,Leveling,"Black, Red"
88,DingDarling,20210625,0.252,0.044,0.208,26.467607,-82.111349,TurningPt 2,TP,Leveling,"Black, Red"
89,DingDarling,20210625,0.382,0,0.382,26.467797,-82.111161,SET C1 Fringe,SET,Leveling,Red
90,DingDarling,20210625,0.085,0,0.085,26.467797,-82.111161,SET C1 Fringe Ground,SET GND,Leveling,Red
91,DingDarling,20210625,-0.343,0,-0.343,NA,NA,SS 1 Edge No Turtle,SS,Leveling,Red
92,DingDarling,20210625,0.475,0,0.475,26.467536,-82.111129,SET C1 Basin,SET,Leveling,"Black, Red"
93,DingDarling,20210625,0.231,0,0.231,26.467536,-82.111129,SET C1 Basin Ground,SET GND,Leveling,"Black, Red"
94,DingDarling,20210625,0.265,0.044,0.221,26.467454,-82.111463,TurningPt 3,TP,Leveling,"Black, Red"
95,DingDarling,20210625,0.254,0.044,0.21,26.467626,-82.111702,TurningPt 4,TP,Leveling,"Black, Red"
96,DingDarling,20210625,0.326,0,0.326,26.467984,-82.11169,SET C2 Fringe,SET,Leveling,Red
97,DingDarling,20210625,0.1641,0,0.1641,26.467984,-82.11169,SET C2 Fringe Ground,SET GND,Leveling,Red
98,DingDarling,20210625,0.285,0,0.285,26.468533,-82.113073,SET C3 Fringe,SET,Leveling,Red
99,DingDarling,20210625,0.017,0,0.017,26.468533,-82.113073,SET C3 Fringe Ground,SET GND,Leveling,Red
100,DingDarling,20210625,0.49,0,0.49,26.468303,-82.113199,SET C3 Basin,SET,Leveling,"Black, Red"
101,DingDarling,20210625,0.364,0,0.364,26.468303,-82.113199,SET C3 Basin Ground,SET GND,Leveling,"Black, Red"
102,DingDarling,20210625,0.218,0,0.218,NA,NA,Side Shot 2 No Turtle,SS,Leveling,Red
103,DingDarling,20210625,0.273,0.044,0.229,26.468181,-82.1135,Side Shot 3,SS,Leveling,"Black, Red"
104,DingDarling,20210625,0.288,0.044,0.244,26.468146,-82.113498,Side Shot 4,SS,Leveling,"Black, Red"
105,DingDarling,20210625,0.264,0.044,0.22,26.468136,-82.113446,Side Shot 5,SS,Leveling,"Black, Red"
