instrument_id,timestamp,parameter,code_type,code
USA-MDA_water-level_SERC-dock,2019-05-30 10:48:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:00:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:06:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:12:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:18:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:48:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 19:24:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-31 08:48:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2019-06-12 11:12:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2019-06-12 12:00:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2019-12-23 14:06:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 10:48:00,level_m_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 10:48:00,status_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 10:48:00,temperature_cbs_c,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:00:00,level_m_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:00:00,status_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:00:00,temperature_cbs_c,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:06:00,level_m_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:06:00,status_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:06:00,temperature_cbs_c,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:12:00,level_m_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:12:00,status_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:12:00,temperature_cbs_c,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:18:00,level_m_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:18:00,status_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:18:00,temperature_cbs_c,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:48:00,level_m_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:48:00,status_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 11:48:00,temperature_cbs_c,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 19:24:00,level_m_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 19:24:00,status_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-30 19:24:00,temperature_cbs_c,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-31 08:48:00,level_m_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-31 08:48:00,status_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-05-31 08:48:00,temperature_cbs_c,main,GQR
USA-MDA_water-level_SERC-dock,2019-06-12 11:12:00,level_m_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-06-12 11:12:00,status_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-06-12 11:12:00,temperature_cbs_c,main,GQR
USA-MDA_water-level_SERC-dock,2019-06-12 12:00:00,level_m_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-06-12 12:00:00,status_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-06-12 12:00:00,temperature_cbs_c,main,GQR
USA-MDA_water-level_SERC-dock,2019-12-23 14:06:00,level_m_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-12-23 14:06:00,status_cbs,main,GQR
USA-MDA_water-level_SERC-dock,2019-12-23 14:06:00,temperature_cbs_c,main,GQR
