instrument_id,timestamp,parameter,code_type,code
USA-MDA_water-level_SERC-dock,2021-02-08 14:48:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 14:54:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 15:00:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 15:06:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 15:12:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 15:18:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 15:24:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 15:30:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 15:36:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 15:42:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 15:48:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 15:54:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 16:00:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 16:06:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 16:12:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 16:18:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 16:24:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 16:30:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 16:36:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 16:42:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 16:48:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 16:54:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 17:00:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 17:06:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 17:12:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 17:18:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 17:24:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 17:30:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 17:36:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 17:42:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 17:48:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 17:54:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 18:00:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 18:06:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 18:12:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 18:18:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 18:24:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 18:30:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 18:36:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 18:42:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 18:48:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 18:54:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 19:00:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 19:06:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 19:12:00,barometric_pressure_mbar_avg,main,GQR
USA-MDA_water-level_SERC-dock,2021-02-08 19:18:00,barometric_pressure_mbar_avg,main,GQR
