Site,Plot,Measuremen,Est_date,11_10_1999,03_09_2000,07_21_2000,11_22_2000,02_26_2001,06_24_2001,01_05_2002,04_16_2002,10_23_2002,04_22_2003,08_25_2003,11_21_2003,03_15_2004,06_15_2004,02_17_2005,06_15_2005,02_10_2006,02_19_2008,05_14_2008,08_13_2008,11_10_2008,08_17_2009,11_30_2009,02_14_2011,05_16_2011,12_04_2017,05_10_2018,12_08_2018,04_29_2019
LO3,3c,1,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,3.9,36,NF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LO3,3c,2,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2.4,33,NF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LO3,3c,3,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,3,38,NF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LO3,1a,1,02_19_2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,0.5,NF,13,9,NA,NA,NA,NA
LO3,1a,2,02_19_2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,NA,NF,12,NA,NA,NA,NA,NA
LO3,1a,3,02_19_2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,NA,NF,12,NA,NA,NA,NA,NA
LO3,2a,1,02_19_2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11,0.5,2,12,NF,NA,NA,NA,NA
LO3,2a,2,02_19_2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,0.5,2,12,NF,NA,NA,NA,NA
LO3,2a,3,02_19_2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,0.5,2,13,NF,NA,NA,NA,NA
LO3,3a,1,02_19_2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,16,0.5,NF,7,5,NA,NA,NA,NA
LO3,3a,2,02_19_2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,17,0.5,NF,6,NF,NA,NA,NA,NA
LO3,3a,3,02_19_2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,17,0.5,NF,6,NF,NA,NA,NA,NA
LO3,1x,1,05_09_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,45,34,42
LO3,1x,2,05_09_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LO3,1x,3,05_09_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LO3,1y,1,05_09_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,50,NF,54
LO3,1y,2,05_09_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LO3,1y,3,05_09_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LO3,1z,1,05_09_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,42,41,44
LO3,1z,2,05_09_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LO3,1z,3,05_09_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LO3,2x,1,05_09_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,28,27,23
LO3,2x,2,05_09_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NA,NA,NA
LO3,2x,3,05_09_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NA,NA,NA
