Site,Plot,Measuremen,Est_date,08_08_2000,11_14_2000,04_17_2002,07_02_2002,10_25_2002,05_06_2003,08_26_2003,11_18_2003,03_15_2004,07_30_2004,02_09_2006,11_15_2006,05_08_2007,08_23_2007,11_19_2007,02_22_2008,06_12_2008,08_15_2008
LO1,2b,1,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA
LO1,2b,2,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA
LO1,2b,3,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA
LO1,2c,1,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA
LO1,2c,2,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA
LO1,2c,3,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA
LO1,3a,1,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA
LO1,3a,2,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA
LO1,3a,3,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA
LO1,3b,1,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NF,0,NA,0,NA,NA,NA,NA
LO1,3b,2,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NF,0,NA,0,NA,NA,NA,NA
LO1,3b,3,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NF,0,NA,0,NA,NA,NA,NA
LO1,3c,1,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NF,0,NA,0,NA,NA,NA,NA
LO1,3c,2,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NF,0,NA,0,NA,NA,NA,NA
LO1,3c,3,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NF,0,NA,0,NA,NA,NA,NA
