Site,Plot,Measuremen,Est_date,08_08_2000,11_14_2000,04_17_2002,07_02_2002,10_25_2002,05_06_2003,08_26_2003,11_18_2003,03_15_2004,07_30_2004,02_09_2006,11_15_2006,05_08_2007,08_23_2007,11_19_2007,02_22_2008,06_12_2008,08_15_2008
LO1,1a,1,01_18_2000,0,NF,19.4,12.4,12.3,13.8,20.5,9.7,16.1,16.5,15,17,NF,NA,NF,5,NF,NF
LO1,1a,2,01_18_2000,0,NF,18.1,15.9,15.5,12.5,24.4,6.2,17.7,18.4,13,16,NF,NA,NF,5,NF,NF
LO1,1a,3,01_18_2000,0,NF,17.8,11.1,13,15.5,27.5,14.9,17.2,22.5,12,17,NF,NA,NF,5,NF,NF
LO1,1b,1,01_18_2000,0,NF,22.4,10.5,13.3,20,16,4.3,15.5,NF,22,44,NF,NA,NF,18,NF,28
LO1,1b,2,01_18_2000,0,NF,20.5,8.1,14.5,19.5,16.5,8.5,13.6,NF,20,41,NF,NA,NF,20,NF,35
LO1,1b,3,01_18_2000,0,NF,19.5,7.5,15,33,18.5,5.5,17,NF,19,38,NF,NA,NF,18,NF,32
LO1,1c,1,01_18_2000,1.2,NF,25.2,11,11.5,31.2,20,12.2,25.5,16.2,1,23,NF,NA,NF,14,NF,NF
LO1,1c,2,01_18_2000,1.5,NF,28.1,9.9,12,30,18.5,3.6,32.9,17.2,1,28,NF,NA,NF,15,NF,NF
LO1,1c,3,01_18_2000,2,NF,26.1,8.9,12.5,34.1,20.5,8.8,20.5,15.9,2,26,NF,NA,NF,17,NF,NF
LO1,2a,1,01_18_2000,1.5,NF,12,NF,12,21.3,10.5,16.6,12.4,28.1,16,16,22,NA,13,25,NF,25
LO1,2a,2,01_18_2000,2,NF,12.5,NF,15,22.2,12,18,14.1,30.8,15,18,18,NA,15,25,NF,23
LO1,2a,3,01_18_2000,1.7,NF,13.8,NF,13.5,22.6,16,20.2,12.1,NF,18,15,26,NA,10,28,NF,27
LO1,2b,1,01_18_2000,2.1,NF,21.5,10.2,9.5,34,22.5,5.4,13,NF,10,19,20,NA,19,20,NF,NF
LO1,2b,2,01_18_2000,2.2,NF,23.2,12.9,11.8,35.1,26.4,4.8,11,NF,12,19,23,NA,20,24,NF,NF
LO1,2b,3,01_18_2000,2.5,NF,24.8,14.1,7.5,35.3,16,3.2,14.6,NF,12,20,20,NA,25,23,NF,NF
LO1,2c,1,01_18_2000,1,NF,22.6,5.9,13.2,32,16,11.7,9.8,NF,11,8,NF,NA,NF,22,NF,NF
LO1,2c,2,01_18_2000,1,NF,23.3,13,15,26.4,18.5,10.9,9.4,NF,9,6,NF,NA,NF,25,NF,NF
LO1,2c,3,01_18_2000,1,NF,23.7,8.4,10.5,31.8,16,6.3,10.6,NF,8,7,NF,NA,NF,25,NF,NF
LO1,3a,1,01_18_2000,1,1.2,25.5,3.2,27.1,31.4,13.4,17.1,13.4,40.9,1,34,30,NA,NF,31,NF,NF
LO1,3a,2,01_18_2000,1,1.7,26.3,12.3,23.9,34.4,17.1,17.3,10.6,46.2,1,34,30,NA,NF,33,NF,NF
LO1,3a,3,01_18_2000,1,2,26.9,15.9,22.5,35,14.4,12.2,7.2,45.6,1,37,30,NA,NF,34,NF,NF
LO1,3b,1,01_18_2000,2.1,NF,19.9,3,18.8,28.9,10.4,14.4,15.4,30.7,NF,NF,30,NA,NF,NF,30,NF
LO1,3b,2,01_18_2000,2.4,NF,17.8,2.2,16.5,26.1,10.2,12.2,13,35.4,NF,NF,30,NA,NF,NF,35,NF
LO1,3b,3,01_18_2000,1.6,NF,19.1,2.1,15,25.3,7.4,17.6,9.8,39.7,NF,NF,30,NA,NF,NF,35,NF
LO1,3c,1,01_18_2000,1.8,1.5,15.1,7.1,18.2,21.3,17.2,6.3,20.5,23.4,NF,NF,30,NA,NF,25,45,NF
LO1,3c,2,01_18_2000,2.1,2.1,15.5,8.8,19.5,24.1,10.5,8.2,15.9,23.7,NF,NF,30,NA,NF,26,45,NF
LO1,3c,3,01_18_2000,2.5,2.7,16.9,8.8,19.8,24.4,10.8,10.1,21.4,24.5,NF,NF,30,NA,NF,24,45,NF
LO1,1a,1,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NF,0,NA,0,NA,NA,NA,NA
LO1,1a,2,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NF,0,NA,0,NA,NA,NA,NA
LO1,1a,3,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NF,0,NA,0,NA,NA,NA,NA
LO1,1b,1,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NF,0,NA,0,NA,NA,NA,NA
LO1,1b,2,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NF,0,NA,0,NA,NA,NA,NA
LO1,1b,3,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NF,0,NA,0,NA,NA,NA,NA
LO1,1c,1,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA
LO1,1c,2,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA
LO1,1c,3,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA
LO1,2a,1,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA
LO1,2a,2,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA
LO1,2a,3,03_15_2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA
