plot_id,bb_cover,cover_type,height_min,height_max,cover_notes
1,1,Dead,NA,NA,NA
1,0,SCAM,120,130,NA
1,5,TYLA,90,180,NA
2,4,SCAM,80,120,NA
2,0,TYLA,NA,NA,NA
3,5,IVFR,200,210,NA
3,3,SCAM,120,150,NA
3,0,SPCY,120,120,NA
4,1,IVFR,140,220,NA
4,1,SCAM,110,190,NA
4,4,TYLA,NA,NA,NA
5,2,BareOrWater,NA,NA,NA
5,0,IVFR,240,240,NA
5,2,PHAU,120,220,NA
5,4,SPCY,120,150,NA
6,1,Dead,0,200,NA
6,4,IVFR,150,195,NA
6,4,SPCY,150,240,NA
7,1,BareOrWater,NA,NA,NA
7,5,IVFR,130,225,NA
7,1,TYLA,80,150,NA
8,1,Dead,20,NA,NA
8,5,SCAM,10,120,NA
8,0,TYLA,90,90,NA
9,3,IVFR,100,220,NA
9,3,PHAU,150,270,NA
9,0,SPAL,90,120,NA
11,3,IVFR,170,170,NA
11,1,SCAM,100,160,NA
11,3,SPAL,90,130,NA
12,1,BareOrWater,NA,NA,NA
12,2,Dead,25,NA,NA
12,3,IVFR,115,150,NA
12,2,SCAM,100,120,NA
12,3,SPCY,90,115,NA
13,1,BareOrWater,NA,NA,NA
13,4,IVFR,170,230,NA
13,3,PHAU,140,200,NA
13,0,SCAM,150,175,NA
13,2,SPCY,105,150,NA
14,4,BareOrWater,NA,NA,NA
14,1,Dead,5,NA,NA
14,2,IVFR,100,210,NA
14,0,SCAM,120,140,NA
14,3,SPCY,60,155,NA
15,3,BareOrWater,NA,NA,NA
15,3,IVFR,200,215,NA
15,0,SCAM,100,130,NA
15,2,SPCY,120,165,NA
16,3,BareOrWater,NA,NA,NA
16,2,SCAM,120,135,NA
16,4,SPCY,150,180,NA
17,1,BareOrWater,NA,NA,NA
17,2,C4,40,90,NA
17,2,Dead,20,NA,NA
17,1,IVFR,50,170,NA
17,3,SCAM,40,130,NA
18,4,BareOrWater,NA,NA,NA
18,2,C4,70,100,NA
18,0,Dead,0,NA,NA
18,4,IVFR,30,195,NA
18,1,SCAM,80,130,NA
18,1,SPCY,90,130,NA
19,0,C4,50,75,NA
19,1,Dead,5,NA,NA
19,4,IVFR,170,195,NA
19,1,SCAM,120,170,NA
19,3,SPCY,90,115,NA
20,1,BareOrWater,NA,NA,NA
20,2,Dead,20,290,NA
20,0,IVFR,130,130,NA
20,5,PHAU,90,290,NA
21,1,Dead,5,NA,NA
21,4,IVFR,170,220,NA
21,3,PHAU,210,245,NA
21,0,SCAM,120,175,NA
22,3,BareOrWater,NA,NA,NA
22,2,IVFR,70,130,NA
22,1,SCAM,70,150,NA
22,3,SPCY,120,200,NA
23,5,SCAM,90,120,NA
24,3,C4,50,70,NA
24,4,IVFR,115,155,NA
25,5,IVFR,110,170,NA
26,2,C4,30,50,NA
26,4,IVFR,130,160,NA
27,4,IVFR,130,170,NA
27,2,SCAM,70,140,NA
28,2,C4,20,40,NA
28,3,Dead,10,NA,NA
28,1,IVFR,75,165,NA
28,2,SCAM,70,110,NA
29,3,C4,30,45,unknown grasses
29,2,IVFR,80,125,unknown grasses
30,3,Dead,20,NA,NA
30,4,TYLA,65,175,NA
31,1,C4,40,55,NA
31,4,Dead,10,NA,NA
31,2,SCAM,60,110,NA
32,3,C4,70,90,NA
32,2,Dead,10,NA,NA
32,2,SCAM,70,105,NA
33,1,BareOrWater,NA,NA,NA
33,3,C4,60,80,NA
33,2,Dead,15,NA,NA
33,3,SCAM,70,130,NA
34,2,C4,45,90,NA
34,3,Dead,35,NA,NA
34,2,SCAM,60,135,NA
35,1,C4,35,85,NA
35,3,Dead,20,NA,NA
35,3,IVFR,125,140,NA
35,1,SCAM,50,125,NA
36,3,C4,60,75,NA
36,3,Dead,5,NA,NA
36,1,IVFR,70,115,NA
37,3,C4,45,105,NA
37,2,Dead,5,NA,NA
37,2,IVFR,105,135,NA
38,1,Dead,5,NA,flowering plants under phrag
38,4,PHAU,200,280,flowering plants under phrag
39,4,BareOrWater,NA,NA,NA
39,1,Dead,10,NA,NA
39,3,SCAM,130,155,NA
40,1,BareOrWater,NA,NA,NA
40,0,C4,30,50,NA
40,4,Dead,20,NA,NA
40,2,SCAM,50,170,NA
40,1,TYLA,160,180,NA
41,3,C4,35,55,NA
41,3,Dead,15,NA,NA
41,2,SCAM,55,100,NA
42,3,C4,35,70,NA
42,3,Dead,15,NA,NA
42,3,SCAM,45,85,NA
43,3,C4,55,70,NA
43,3,Dead,10,NA,NA
43,2,SCAM,75,110,NA
44,3,C4,35,55,NA
44,3,Dead,10,NA,NA
44,2,SCAM,60,90,NA
45,1,Dead,5,NA,NA
45,4,IVFR,145,190,NA
45,4,PHAU,170,270,NA
46,1,Dead,5,NA,NA
46,4,IVFR,60,190,NA
46,4,PHAU,100,280,NA
47,1,Dead,5,NA,NA
47,3,IVFR,40,150,NA
47,3,PHAU,120,210,NA
48,0,Dead,5,NA,NA
48,5,PHAU,210,360,NA
49,4,BareOrWater,NA,NA,NA
49,1,Dead,10,NA,NA
49,3,TYLA,90,210,NA
50,3,BareOrWater,NA,NA,NA
50,1,Dead,40,NA,NA
50,4,SCAM,65,155,NA
50,1,TYLA,100,190,NA
51,2,BareOrWater,NA,NA,NA
51,0,C4,50,60,NA
51,1,Dead,10,NA,NA
51,4,SCAM,90,155,NA
52,1,BareOrWater,NA,NA,NA
52,0,C4,40,70,NA
52,1,Dead,20,NA,NA
52,3,SCAM,75,145,NA
53,4,Dead,40,NA,NA
53,3,SCAM,60,130,NA
54,2,C4,30,55,NA
54,4,Dead,20,NA,NA
54,2,SCAM,35,100,NA
55,2,C4,50,70,NA
55,3,Dead,15,NA,NA
55,1,SCAM,35,55,NA
56,0,C4,70,70,NA
56,4,Dead,5,NA,NA
56,4,SCAM,35,140,NA
57,3,C4,30,70,NA
57,3,Dead,15,NA,NA
57,1,SCAM,60,110,NA
58,3,C4,40,70,NA
58,3,Dead,15,110,NA
