Site,Plot,Measuremen,Est_date,01_19_2001,07_03_2002,09_19_2008
SH1,1a,1,07_12_1999,0,0.5,33
SH1,1a,2,07_12_1999,0,0.5,35
SH1,1a,3,07_12_1999,0,0.5,35
SH1,1b,1,07_12_1999,0,0.5,25
SH1,1b,2,07_12_1999,0,0.5,25
SH1,1b,3,07_12_1999,0,0.5,25
SH1,1c,1,07_12_1999,0,1,30
SH1,1c,2,07_12_1999,0,1,35
SH1,1c,3,07_12_1999,0,1,30
SH1,2a,1,07_12_1999,4.5,11.2,35
SH1,2a,2,07_12_1999,3.8,10,40
SH1,2a,3,07_12_1999,4.4,9.8,35
SH1,2b,1,07_12_1999,0,18.7,25
SH1,2b,2,07_12_1999,0,18.2,25
SH1,2b,3,07_12_1999,0,17.6,20
SH1,2c,1,07_12_1999,1.5,7.6,30
SH1,2c,2,07_12_1999,2,8.3,40
SH1,2c,3,07_12_1999,2.1,9.1,40
SH1,3a,1,07_12_1999,0,1.7,12
SH1,3a,2,07_12_1999,0,1.9,12
SH1,3a,3,07_12_1999,0,2.4,17
SH1,3b,1,07_12_1999,0,3.1,40
SH1,3b,2,07_12_1999,0,3.4,35
SH1,3b,3,07_12_1999,0,3.4,35
SH1,3c,1,07_12_1999,0,0.3,50
SH1,3c,2,07_12_1999,0,0.3,45
SH1,3c,3,07_12_1999,0,0.3,40
