refuge,site,SET,azi,pin,pin_length_mm,date,pinvalue_mm,navd88_arm_mm,navd88_pinvalue_mm,date_numeric
Anahuac,Alice Jackson White,SET 1,1,1,913,2014-06-03,443,675.7,205.7,0.00
Anahuac,Alice Jackson White,SET 1,1,1,913,2014-12-09,403,675.7,165.7,0.52
Anahuac,Alice Jackson White,SET 1,1,1,913,2015-04-20,399,675.7,161.7,0.88
Anahuac,Alice Jackson White,SET 1,1,1,913,2015-08-28,412,675.7,174.7,1.23
Anahuac,Alice Jackson White,SET 1,1,1,913,2016-04-08,412,675.7,174.7,1.85
Anahuac,Alice Jackson White,SET 1,1,1,913,2016-10-06,417,675.7,179.7,2.34
Anahuac,Alice Jackson White,SET 1,1,1,913,2018-04-02,409,675.7,171.7,3.83
Anahuac,Alice Jackson White,SET 1,1,1,913,2018-12-06,414,675.7,176.7,4.51
Anahuac,Alice Jackson White,SET 1,1,1,913,2019-04-12,409,675.7,171.7,4.86
Anahuac,Alice Jackson White,SET 1,1,1,913,2019-11-19,479,675.7,241.7,5.46
Anahuac,Alice Jackson White,SET 1,83,1,916,2014-06-03,440,675.7,199.7,0.00
Anahuac,Alice Jackson White,SET 1,83,1,916,2014-12-09,390,675.7,149.7,0.52
Anahuac,Alice Jackson White,SET 1,83,1,916,2015-04-20,386,675.7,145.7,0.88
Anahuac,Alice Jackson White,SET 1,83,1,916,2015-08-28,412,675.7,171.7,1.23
Anahuac,Alice Jackson White,SET 1,83,1,916,2016-04-08,397,675.7,156.7,1.85
Anahuac,Alice Jackson White,SET 1,83,1,916,2016-10-06,389,675.7,148.7,2.34
Anahuac,Alice Jackson White,SET 1,83,1,916,2018-04-02,357,675.7,116.7,3.83
Anahuac,Alice Jackson White,SET 1,83,1,916,2018-12-06,342,675.7,101.7,4.51
Anahuac,Alice Jackson White,SET 1,83,1,916,2019-04-12,NA,675.7,NA,4.86
Anahuac,Alice Jackson White,SET 1,83,1,916,2019-11-19,383,675.7,142.7,5.46
Anahuac,Alice Jackson White,SET 1,183,1,916,2014-06-03,366,675.7,125.7,0.00
Anahuac,Alice Jackson White,SET 1,183,1,916,2014-12-09,410,675.7,169.7,0.52
Anahuac,Alice Jackson White,SET 1,183,1,916,2015-04-20,418,675.7,177.7,0.88
Anahuac,Alice Jackson White,SET 1,183,1,916,2015-08-28,422,675.7,181.7,1.23
Anahuac,Alice Jackson White,SET 1,183,1,916,2016-04-08,341,675.7,100.7,1.85
Anahuac,Alice Jackson White,SET 1,183,1,916,2016-10-06,325,675.7,84.7,2.34
Anahuac,Alice Jackson White,SET 1,183,1,916,2018-04-02,431,675.7,190.7,3.83
Anahuac,Alice Jackson White,SET 1,183,1,916,2018-12-06,435,675.7,194.7,4.51
Anahuac,Alice Jackson White,SET 1,183,1,916,2019-04-12,435,675.7,194.7,4.86
Anahuac,Alice Jackson White,SET 1,183,1,916,2019-11-19,435,675.7,194.7,5.46
Anahuac,Alice Jackson White,SET 1,270,1,913,2014-06-03,432,675.7,194.7,0.00
Anahuac,Alice Jackson White,SET 1,270,1,913,2014-12-09,389,675.7,151.7,0.52
Anahuac,Alice Jackson White,SET 1,270,1,913,2015-04-20,385,675.7,147.7,0.88
Anahuac,Alice Jackson White,SET 1,270,1,913,2015-08-28,408,675.7,170.7,1.23
Anahuac,Alice Jackson White,SET 1,270,1,913,2016-04-08,403,675.7,165.7,1.85
Anahuac,Alice Jackson White,SET 1,270,1,913,2016-10-06,387,675.7,149.7,2.34
Anahuac,Alice Jackson White,SET 1,270,1,913,2018-04-02,428,675.7,190.7,3.83
Anahuac,Alice Jackson White,SET 1,270,1,913,2018-12-06,429,675.7,191.7,4.51
Anahuac,Alice Jackson White,SET 1,270,1,913,2019-04-12,428,675.7,190.7,4.86
Anahuac,Alice Jackson White,SET 1,270,1,913,2019-11-19,428,675.7,190.7,5.46
Anahuac,Alice Jackson White,SET 1,1,2,916,2014-06-03,434,675.7,193.7,0.00
Anahuac,Alice Jackson White,SET 1,1,2,916,2014-12-09,401,675.7,160.7,0.52
Anahuac,Alice Jackson White,SET 1,1,2,916,2015-04-20,393,675.7,152.7,0.88
Anahuac,Alice Jackson White,SET 1,1,2,916,2015-08-28,404,675.7,163.7,1.23
Anahuac,Alice Jackson White,SET 1,1,2,916,2016-04-08,394,675.7,153.7,1.85
Anahuac,Alice Jackson White,SET 1,1,2,916,2016-10-06,404,675.7,163.7,2.34
Anahuac,Alice Jackson White,SET 1,1,2,916,2018-04-02,400,675.7,159.7,3.83
Anahuac,Alice Jackson White,SET 1,1,2,916,2018-12-06,399,675.7,158.7,4.51
Anahuac,Alice Jackson White,SET 1,1,2,916,2019-04-12,402,675.7,161.7,4.86
Anahuac,Alice Jackson White,SET 1,1,2,916,2019-11-19,432,675.7,191.7,5.46
Anahuac,Alice Jackson White,SET 1,83,2,916,2014-06-03,435,675.7,194.7,0.00
Anahuac,Alice Jackson White,SET 1,83,2,916,2014-12-09,405,675.7,164.7,0.52
Anahuac,Alice Jackson White,SET 1,83,2,916,2015-04-20,398,675.7,157.7,0.88
Anahuac,Alice Jackson White,SET 1,83,2,916,2015-08-28,411,675.7,170.7,1.23
Anahuac,Alice Jackson White,SET 1,83,2,916,2016-04-08,439,675.7,198.7,1.85
Anahuac,Alice Jackson White,SET 1,83,2,916,2016-10-06,409,675.7,168.7,2.34
Anahuac,Alice Jackson White,SET 1,83,2,916,2018-04-02,378,675.7,137.7,3.83
Anahuac,Alice Jackson White,SET 1,83,2,916,2018-12-06,387,675.7,146.7,4.51
Anahuac,Alice Jackson White,SET 1,83,2,916,2019-04-12,384,675.7,143.7,4.86
Anahuac,Alice Jackson White,SET 1,83,2,916,2019-11-19,389,675.7,148.7,5.46
