site,plot,subplot,measurement,est_date,date,accr
Rookery Bay-4,1,a,1,1997-03-20,1997-10-29,5
Rookery Bay-4,1,a,1,1997-03-20,1998-03-12,3
Rookery Bay-4,1,a,1,1997-03-20,1999-09-02,2
Rookery Bay-4,1,a,1,1997-03-20,2000-04-28,11
Rookery Bay-4,1,a,1,1997-03-20,2000-12-15,6
Rookery Bay-4,1,a,1,1997-03-20,2005-05-07,18
Rookery Bay-4,1,a,1,1997-03-20,2006-02-17,16
Rookery Bay-4,1,b,1,1997-03-20,1997-10-29,6
Rookery Bay-4,1,b,1,1997-03-20,1998-03-12,5
Rookery Bay-4,1,b,1,1997-03-20,1999-09-02,2
Rookery Bay-4,1,b,1,1997-03-20,2000-04-28,14
Rookery Bay-4,1,b,1,1997-03-20,2000-12-15,8
Rookery Bay-4,1,b,1,1997-03-20,2005-05-07,17
Rookery Bay-4,1,b,1,1997-03-20,2006-02-17,16
Rookery Bay-4,1,c,1,1997-03-20,1997-10-29,3
Rookery Bay-4,1,c,1,1997-03-20,1998-03-12,1
Rookery Bay-4,1,c,1,1997-03-20,1999-09-02,0
Rookery Bay-4,1,c,1,1997-03-20,2000-04-28,8
Rookery Bay-4,1,c,1,1997-03-20,2000-12-15,6
Rookery Bay-4,1,c,1,1997-03-20,2005-05-07,16
Rookery Bay-4,1,c,1,1997-03-20,2006-02-17,16
Rookery Bay-4,2,a,1,1997-03-20,1997-10-29,3
Rookery Bay-4,2,a,1,1997-03-20,1998-03-12,3
Rookery Bay-4,2,a,1,1997-03-20,1999-09-02,"NA"
Rookery Bay-4,2,a,1,1997-03-20,2000-04-28,14
Rookery Bay-4,2,a,1,1997-03-20,2000-12-15,12
Rookery Bay-4,2,a,1,1997-03-20,2005-05-07,20
Rookery Bay-4,2,a,1,1997-03-20,2006-02-17,24
Rookery Bay-4,2,b,1,1997-03-20,1997-10-29,2
Rookery Bay-4,2,b,1,1997-03-20,1998-03-12,5
Rookery Bay-4,2,b,1,1997-03-20,1999-09-02,2
Rookery Bay-4,2,b,1,1997-03-20,2000-04-28,10
Rookery Bay-4,2,b,1,1997-03-20,2000-12-15,10
Rookery Bay-4,2,b,1,1997-03-20,2005-05-07,10
Rookery Bay-4,2,b,1,1997-03-20,2006-02-17,16
Rookery Bay-4,2,c,1,1997-03-20,1997-10-29,3
Rookery Bay-4,2,c,1,1997-03-20,1998-03-12,10
Rookery Bay-4,2,c,1,1997-03-20,1999-09-02,"NA"
Rookery Bay-4,2,c,1,1997-03-20,2000-04-28,8
Rookery Bay-4,2,c,1,1997-03-20,2000-12-15,8
Rookery Bay-4,2,c,1,1997-03-20,2005-05-07,20
Rookery Bay-4,2,c,1,1997-03-20,2006-02-17,23
Rookery Bay-4,3,a,1,1997-03-20,1997-10-29,2
Rookery Bay-4,3,a,1,1997-03-20,1998-03-12,4
