Site,Plot,Measuremen,Est_date,10_26_1998,01_26_1999,07_30_1999,10_28_1999,02_22_2000,07_20_2000,08_02_2000,10_16_2000,01_16_2001,04_27_2001,02_17_2002,04_15_2002,07_01_2002,10_24_2002,04_23_2003,11_16_2003,02_24_2004,07_20_2004,02_14_2005,06_14_2005,11_08_2005,07_28_2006,12_11_2006,04_09_2007,10_16_2007,01_09_2008,04_09_2008,10_30_2008,01_15_2009,04_15_2009,07_24_2009,10_22_2009,01_21_2010,04_19_2010,07_30_2010,01_24_2011,10_26_2011,05_17_2013,09_20_2016,05_13_2017,12_07_2017,05_05_2018,12_12_2018,04_26_2019
BSC,1a,1,07_28_1998,0,6,10,15.5,9,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSC,1a,2,07_28_1998,0.5,5,10,15,8.1,NA,1.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSC,1a,3,07_28_1998,1,1,9,14,NF,NA,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSC,1b,1,07_28_1998,1,6,2,5.5,6.1,NA,3.1,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSC,1b,2,07_28_1998,0,7,0,5,8,NA,3.9,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSC,1b,3,07_28_1998,2,NF,NF,5.5,NF,NA,4.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSC,1c,1,07_28_1998,0,5,3,7.5,3.1,NA,0.8,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSC,1c,2,07_28_1998,2,4,3,5.5,5.5,NA,0.7,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSC,1c,3,07_28_1998,0.5,4,4,5.5,5.6,NA,0.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSC,2a,1,07_28_1998,2,16,1,18,14.8,NA,8.1,17.4,11.8,24.3,4.5,32.7,3.5,15.6,24.9,7.1,26.1,15.9,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
