Site,Plot,Measuremen,Est_date,10_27_1998,01_27_1999,07_13_1999,10_13_1999,02_18_2000,06_23_2000,10_18_2000,01_17_2001,05_03_2001,07_31_2001,04_18_2002,07_05_2002,10_22_2002,04_22_2003,08_26_2003,11_20_2003,03_05_2004,06_18_2004,08_17_2004,02_07_2005,06_15_2005,02_10_2006,06_22_2006,11_14_2006,04_10_2007,07_11_2007,10_15_2007,01_08_2008,04_07_2008,07_22_2008,10_27_2008,01_13_2009,04_14_2009,07_21_2009,01_22_2010,09_22_2016,05_12_2017,12_05_2017,05_06_2018,12_10_2018,04_27_2019
SH2,1a,1,07_28_1998,0,1,1,0,1.7,2.1,2.5,6.2,9.6,7.3,9.9,2,3.3,5.9,12.3,15,10.8,20.5,NF,7.6,11.1,12,17,18,19,29,14,19,NF,15,5,17,16,NA,25,NA,NA,NA,NA,NA,NA
SH2,1a,2,07_28_1998,0,1,1,0,5.8,4,1.1,6,7.9,10.5,10.1,1.8,2.5,5.5,12.2,18.5,10.8,24,NF,9.2,15.7,11.5,15,17,17,31,15,21,NF,11,7,18,16,NA,25,NA,NA,NA,NA,NA,NA
SH2,1a,3,07_28_1998,0.1,1,1,0,2.2,3.6,0.9,5,10,12.7,10,2.8,2.7,4.9,13.1,17.5,6.2,18.3,NF,3.9,9.3,8,13,19,17,28,15,22,NF,10,7,15,15,NA,27,NA,NA,NA,NA,NA,NA
SH2,1b,1,07_28_1998,0,0,1,0.6,3,1.3,0.5,2.1,7.2,2.9,7.7,3.5,1,6.2,15,6.8,16.9,26.5,17.3,8.1,22.5,12,24,9,15,27,22,26,25,6,15,24,18,NA,20,NA,NA,NA,NA,NA,NA
SH2,1b,2,07_28_1998,0,0,1,0.6,0.5,1.6,0.8,2.5,6.5,6.4,7.2,4,1,7,15.3,9.6,14.4,19.4,14.9,12.5,18.8,14,22,7,11,28,25,25,22,6,12,24,18,NA,22,NA,NA,NA,NA,NA,NA
SH2,1b,3,07_28_1998,0,0,1,0.6,0.5,1.1,0.9,2.7,11.6,2.5,6.8,3.8,1,7.4,14,11,17.7,24,12,9.1,18.3,11,20,8,10,22,24,27,27,5,15,26,17,NA,23,NA,NA,NA,NA,NA,NA
SH2,1c,1,07_28_1998,0,0,2,0.2,0.5,NA,0.5,2.5,7,8.6,5,7.2,3.1,7.4,11.5,8,15.7,24.4,16.7,12.3,15.5,5,25,NF,16,25,18,22,NF,19,5,25,19,NA,18,NA,NA,NA,NA,NA,NA
SH2,1c,2,07_28_1998,0,0,2,0.2,0.5,NA,0.5,2.4,6.5,6.6,6.3,8.5,3.9,7.6,11,7,16,28.4,14.6,14.4,18.2,2,23,NF,18,27,18,23,NF,16,5,24,20,NA,18,NA,NA,NA,NA,NA,NA
SH2,1c,3,07_28_1998,0.1,0,2,0.2,0.5,NA,0.9,1.9,4.6,7.1,6,6.6,5.2,7.2,12,6.5,18,33.6,15.8,11.3,22.4,9,20,NF,20,22,15,21,NF,15,5,27,22,NA,17,NA,NA,NA,NA,NA,NA
SH2,2a,1,07_28_1998,0,1,1,5.8,5,NA,0.5,2.8,3.5,8,4.5,3,3.3,9.6,16.8,11.5,13.2,15.8,12.7,NF,16.8,9,18,18,18,20,14,13,14,18,NF,28,14,NA,12,NA,NA,NA,NA,NA,NA
